POLYGON ((84.295 27.071, 84.510 26.963, 84.808 26.983, 84.920 26.685, 84.774 26.323, 84.666 26.304, 84.554 26.367, 84.363 26.387, 84.300 26.494, 84.295 27.071))
POLYGON ((85.243 26.753, 85.297 27.002, 85.258 26.685, 85.243 26.753))
POLYGON ((85.082 26.162, 85.541 26.387, 85.815 26.220, 85.820 26.186, 85.932 26.128, 85.869 26.079, 85.492 25.908, 85.082 26.162))
POLYGON ((85.751 26.602, 85.869 26.528, 85.761 26.543, 85.751 26.602))
POLYGON ((85.003 25.673, 85.267 25.639, 85.106 25.556, 85.228 25.624, 85.003 25.673))
POLYGON ((85.619 25.761, 85.810 25.888, 85.722 25.737, 85.741 25.517, 85.697 25.512, 85.619 25.761))
POLYGON ((86.475 26.274, 86.572 26.387, 86.988 26.577, 86.738 26.421, 86.475 26.274))
POLYGON ((86.822 26.289, 86.914 26.035, 86.822 25.942, 86.822 26.289))
POLYGON ((86.743 25.517, 86.944 25.864, 87.090 25.746, 86.929 25.478, 86.743 25.517))
POLYGON ((87.149 26.362, 87.291 26.387, 87.345 26.269, 87.393 26.216, 87.980 26.113, 88.488 25.341, 88.180 24.881, 87.516 25.522, 87.476 25.908, 87.325 26.264, 87.271 26.323, 87.149 26.362))
POLYGON ((88.180 26.294, 88.361 26.484, 88.537 26.484, 88.459 26.602, 88.571 26.489, 88.581 26.426, 88.180 26.294))
