POLYGON ((-72.9223067 40.9473433,-72.9420705 40.7718506,-74.805399900000012 39.8664115,-75.4668187 39.5714116,-75.5478455 39.8749072,-75.5168986 40.1339686,-74.1629891 41.4324082,-74.019663 41.5130198,-73.240131 41.151593))
POLYGON ((87.1206473 21.5267256,86.6611083 21.3468696,86.9246005 21.4869337,86.9936336 21.5077686))
POLYGON ((77.484214 28.620072,77.316844 28.346371,77.0659348 28.4141538,77.0563632 28.420151,77.0400884 28.4457783,76.9714641 28.5968675,77.051978 28.765906,77.268614 28.769326,77.449202 28.691962,77.4702618 28.6593235))
POLYGON ((95.0312498 27.0280144,94.890661599999987 27.1532398,94.769158599999983 27.608731,95.362551599999989 27.6690334,95.8644018 27.6692115,95.8738267 27.6647256,95.6085359 27.3943554))
POLYGON ((80.6326916 28.16514,80.7824012 27.9490794,80.4715866 28.0786366))
POLYGON ((71.7134728 24.3130799,71.6271514 24.396687,71.7622481 24.3454739))
POLYGON ((91.715133 26.116219,91.3392997 26.4053352,91.4410527 26.4446185,92.848206 26.865731,93.1478514 26.7266632,93.1666708 26.6717807,93.171122 26.577531,92.8987139 26.0688509,92.8575136 26.009105,91.8465695 26.1017426))
POLYGON ((87.9322079 24.8040117,85.3131194 25.0960742,83.3428697 26.3519297,82.6901934 27.2896347,82.9931607 27.6541877,85.684578 27.9512034,88.4620294 26.0321278,89.0123463 25.2845154,89.0102214 25.276128,88.1434074 24.8449453))
POLYGON ((-79.6759965 43.5870385,-79.7491345 43.696449,-79.6774756 43.7138772,-79.418963299999987 43.7300061,-79.3775323 43.6694873,-79.378758 43.6501222))
POLYGON ((-81.59429870000001 28.3309822,-81.6123529 28.77813,-81.1953541 28.6685366,-81.243464 28.596572,-81.50889 28.37674))
POLYGON ((-75.700929 45.4235937,-75.664088400000011 45.3506628,-75.70251 45.4186345))
POLYGON ((-86.1631382 32.3806852,-86.3275665 32.2818575,-86.3001554 32.3697852,-86.2542264 32.405624))
POLYGON ((100.629893 13.669163,100.4926579 13.7515912,100.5250276 14.0208391,100.6472345 14.0666954,100.724061 13.6778989))
POLYGON ((87.6211642 22.6097827,87.7107513 22.8983877,87.8549755 22.9867569,88.0651002 23.0322241,87.77573 22.6305206))
POLYGON ((-83.3248484 42.1960236,-83.74529 42.27455,-83.2787067 42.82253,-83.0675444 42.5350011,-82.9757237 42.3147771))
POLYGON ((-117.581131 34.080262,-117.6115669 33.4267135,-118.289783299999982 33.8218609,-118.931932 34.199774,-118.3622468 34.217274,-117.676193 34.107467))
POLYGON ((-121.8608256 37.3514647,-121.905092700000012 37.2442264,-121.9465363 37.2520144,-121.962695 37.259585,-122.072847 37.342386,-122.1686033 37.4226924,-122.47020790000002 37.6879241,-122.6426586 38.2583569,-121.8744881 38.203434))
POLYGON ((-96.7728596 43.5428781,-96.7463018 43.5590734,-96.7220565 43.54812))
POLYGON ((-88.5316428 41.6619324,-88.089523 42.445572,-87.7985988 42.1834859,-87.6799324 42.0349222,-87.6198335 41.8922354,-87.627171099999984 41.7656608,-87.7370775 41.609868,-88.0900762 41.5054724,-88.1979905 41.5212434))
POLYGON ((86.5026551 21.0617995,86.3097834 20.7354199,86.175175900000013 20.7652197,86.2888538 20.9261559,86.4958396 21.0582737))
POLYGON ((-81.5596427 41.0918991,-82.1090878 41.3942596,-81.4492244 41.6429758,-81.460193 41.239077))
POLYGON ((-76.9176979 38.6221907,-77.5452063 38.7553955,-77.568739 39.119943,-76.952633 39.3864579,-76.5519975 39.4002166,-76.4526257 39.3217127,-76.8656479 38.6753209))
POLYGON ((88.282422 23.7774454,88.5013962 23.4008744,88.5024611 22.4237811,88.48019570000001 22.398871,88.1814033 22.295946,88.1836141 23.5401687))
POLYGON ((74.9570438 19.5026223,74.7409075 19.1078004,74.731691500000011 19.133882,74.7541889 19.3843278))
POLYGON ((91.2824968 23.8622738,91.4851715 23.5338089,91.2738676 23.7145436,91.0420063 23.9975194))
POLYGON ((73.188758099999987 20.5448478,73.0050865 20.2627079,72.916074 20.371648,72.910620200000011 20.3893155,72.750273 21.142129,72.749024 21.3399614,72.857068 21.210465))
POLYGON ((72.9996791 21.7033938,73.0199087 21.7157705,73.1961734 21.4346323,73.217987400000013 21.21679,73.0119202 21.6266027))
POLYGON ((70.7553175 23.1034031,70.8236195 22.8119895,70.6751272 22.853187))
POLYGON ((81.6851914 20.8578197,81.633312 21.2549142,81.8661442 21.2786567,81.9234712 21.0358098))
POLYGON ((-84.4258044 33.6409016,-84.6505825 33.8555801,-84.5691772 33.9851621,-84.263061 34.09573,-84.176532 34.097581,-84.058377299999989 34.010229,-83.95504840000001 33.8930897,-83.996951599999989 33.6478888))
POLYGON ((-104.7040869 38.6680105,-104.848453299999989 38.8997989,-104.7973942 38.9383451,-104.74397 38.9704705,-104.7212898 38.8943294))
POLYGON ((-96.6820478 32.7183382,-97.4675205 32.7242663,-97.2961286 33.0848442,-97.0716877 33.2131993,-96.8220576 33.1504108,-96.662517400000013 32.957204,-96.582676400000011 32.7650771))
POLYGON ((-4.1700035 55.7565595,-4.3317263 55.9181093,-4.2641816 55.8656033))
POLYGON ((-1.8927133 52.4933192,-1.9009001 52.4765588,-2.1140822 52.4852429))
POLYGON ((-2.4097249 53.5894001,-2.359046 53.806051,-2.1023141 53.5372078,-1.967596 53.198914,-2.3319576 53.4266462))
POLYGON ((-97.8141047 30.1815612,-97.923961 30.307685,-97.828791099999989 30.5752145,-97.6919939 30.665463,-97.663288599999987 30.439915,-97.6644012 30.2394276))
POLYGON ((91.2469935 26.1021647,89.8622017 25.5354761,89.6294746 25.8072414,89.4385939 26.3271021,89.53413470000001 26.5237318,90.492713400000014 26.8725114,90.972917 26.502723))
POLYGON ((139.6993765 35.6452208,139.664756300000022 35.6734965,139.8335308 35.8199808,139.761823 35.669134))
POLYGON ((73.827527 19.9017479,73.7377 19.947688,73.754858 19.995828,73.7840268 20.0064643,73.8419119 20.019604,73.846335 19.9544189))
POLYGON ((73.1781051 18.7531023,73.0950236 18.7354611,72.829073200000011 18.9189355,72.8057745 18.964187,72.7514488 19.4495062,72.777658 19.461882,72.8604097 19.4945979,73.167712400000013 19.2378505,73.3277223 18.9192249))
POLYGON ((83.9811665 21.4668716,83.8704949 21.5305898,83.9547341 21.4845489))
POLYGON ((-106.654906 35.083225,-106.585650499999986 35.1779961,-106.6515584 35.0876916))
POLYGON ((93.9830529 24.496869,93.7587457 24.5666665,93.9288383 24.8562581,93.9674371 24.7806536))
POLYGON ((78.3859208 17.245437,78.3323199 17.4956235,78.3766275 17.5164805,78.5622593 17.5382635,78.565575 17.4716833,78.5314446 17.3686622,78.5127339 17.3495629))
POLYGON ((75.799825 30.8849229,75.1953934 31.2141276,75.530829 31.30342,75.5932207 31.3125822,75.9929761 31.1837532,75.894266 30.88727))
POLYGON ((80.6492646 16.5071499,80.4677918 16.29708,80.4658449 16.2989136,80.5313928 16.3792902,80.5741231 16.4291287))
POLYGON ((-86.1743818 43.047962,-86.1023574 42.7871797,-86.1033618 42.7905941))
POLYGON ((-82.52375450000001 27.4349302,-82.4973973 27.3044638,-82.532949 27.334347,-82.5896847 27.4378838))
POLYGON ((73.0472696 24.0282855,73.4697802 23.6172464,73.4622161 23.469801,73.2131331 22.2689437,73.1807581 22.2553191,72.8982666 22.4203907,72.4999541 23.0006417,72.524726 23.0801984,72.8537223 24.0043482))
POLYGON ((71.7762183 24.7517368,72.8513161 24.8851688,72.8574558 24.8851548,72.861835700000015 24.8841159,72.8681302 24.8779932,72.9785353 24.7067221,72.7717775 24.4640731,72.4355838 24.1673405,72.430833 24.1650145,72.182803 24.257656))
POLYGON ((93.439258099999989 25.8416032,93.6053163 27.0843682,93.6156392 27.0912432,93.8007432 27.213647,94.1053307 27.2253189,94.1513764 27.2063587,94.224298099999984 27.0016172,94.2025859 26.7465203,94.0585438 26.3757822,93.7536663 25.8629885))
POLYGON ((70.80037 22.274476,70.7922071 22.2921885,70.7928557 22.3007147,70.801406 22.3038676,70.818248 22.308331,70.813423 22.293898))
POLYGON ((85.8829895 20.462521,85.8537418 20.1928282,85.803437 20.247198,85.7974291 20.4532721))
POLYGON ((-83.6443421 34.66454,-83.544288 34.54257,-83.7199136 34.6567728))
POLYGON ((-80.2508393 35.8204823,-80.2717685 36.0692885,-79.9351805 36.1043671,-79.83524 36.046863))
POLYGON ((73.0595281 33.5780629,73.0639551 33.6835942,73.093146099999984 33.7293882,73.0770513 33.6486086))
POLYGON ((-112.075557 33.4508803,-111.9778624 33.8942826,-111.7228057 33.5726728,-111.688476099999988 33.3698037,-111.757239099999978 33.3045314,-111.945256900000018 33.3695581))
POLYGON ((37.633854 55.755823,37.582599 55.757858,37.6133034 55.7574014))
POLYGON ((-85.6243502 38.1776404,-85.7379004 38.2529581,-85.640536 38.238942))
POLYGON ((114.190998 22.2852951,114.1539063 22.2855822,114.171634 22.3068,114.1921918 22.3167996,114.2108316 22.2879383))
POLYGON ((-111.864327599999982 40.9052431,-111.6582226 40.2352617,-111.886754 40.429218,-112.0028101 40.5468355,-111.9722395 40.737157))
POLYGON ((-91.5254449 44.8318313,-91.4568337 44.7610217,-91.4646308 44.7644864))
POLYGON ((72.1519304 21.7644725,72.1521387 21.7595424,72.0984439 21.7610941))
POLYGON ((73.6367012 24.6332377,73.6515725 24.6795743,73.977126 24.5855899,74.1850289 24.500894,73.6969523 24.5762403))
POLYGON ((73.757793 18.762816,74.0984253 18.4862983,73.868111 18.4914715,73.8137392 18.5098449,73.7709738 18.5904769))
POLYGON ((-92.834925 45.0408714,-93.2222846 44.8847554,-93.2940543 44.960655,-93.389952 45.161184,-93.2520123 45.1963495))
