POLYGON ((85.1005995 25.6631188,85.2784384 25.6345885,85.0975657 25.5492852,85.258483 25.615922,85.017935 25.6530009,85.0135061 25.6636043))
POLYGON ((83.1538203 25.3154947,83.03541 25.3238983))
POLYGON ((86.9842445 26.5768831,86.4729809 26.2722853,86.5653894 26.3792621))
POLYGON ((85.3017539 27.7019397,85.5533802 27.776326,85.3618197 27.6710221,85.289476 27.64645,85.275006 27.687083,85.2834078 27.6499627))
POLYGON ((87.0827326 25.7479366,86.9212587 25.4819437,86.7353894 25.5178168,86.9424 25.8674))
POLYGON ((85.862004 26.077868,85.8247899 26.2151887,85.8194675 26.1847872,85.9263437 26.1194574))
POLYGON ((87.6433139 25.7355956,87.4413 25.7431,87.4412551 25.7431391,87.4716 25.9068,87.2842894 26.3909362,87.1481709 26.3555522,87.271781 26.3246381,87.392397 26.2039002))
POLYGON ((86.8220341 26.2899113,86.9156798 26.029164,86.8211096 25.937389))
POLYGON ((88.7545256 26.4754772,88.754523 26.4754773,88.8554984 26.5398294))
POLYGON ((84.2965382 27.0760807,84.5142606 26.9599721,84.8872888 26.8141689,84.9088938 26.6809624,84.8907932 26.6098139,84.536585 26.7747053))
POLYGON ((84.7825663 26.3272935,84.6662199 26.3011642,84.553507 26.3678906,84.3622535 26.3833665,84.2965394 26.4895475,84.2896989 26.6123925,84.7002199 26.5188394))
POLYGON ((84.5038658 27.550849,84.1502049 27.563131,84.1833403 27.5480113,84.1186488 27.5523482))
POLYGON ((87.531149 25.5139337,87.5215105 25.5707714,87.5378609 25.552048,87.5379 25.552))
POLYGON ((88.585234 26.417926,88.4584594 26.5991315,88.5788015 26.4802567,88.3630595 26.4781133,88.1783284 26.2914242))
POLYGON ((85.2907892 27.0155862,85.2434207 26.7491243,85.2796218 26.9466903))
POLYGON ((88.016979 25.9470393,87.9444553 25.9128118,87.8363822 26.0577422,87.9203099 26.071258,87.9678143 26.1092708))
POLYGON ((85.486024 26.5981781,85.5488 26.3912,85.5488393 26.3912476))
POLYGON ((85.6241342 25.7564991,85.8150263 25.8969679,85.730682 25.740186,85.7430943 25.5115853,85.7024738 25.5069422))
POLYGON ((85.0854091 26.1536932,85.5383671 26.3888887,85.5799333 26.200524,85.554024 26.066674,85.3924052 26.0507831))
POLYGON ((88.488531 25.3375308,88.1774074 24.8789453,87.7115764 25.2963046,87.7418842 25.6395434,87.9167125 25.6929344,88.2242084 25.6387976,88.5323606 25.36691))
POLYGON ((85.7468923 26.6108937,85.8761573 26.5290474,85.7655648 26.5432336,85.8197418 26.5291076,85.77366 26.5361922))
POLYGON ((88.9721326 25.281857,88.8791648 25.0583336,88.7490612 25.2032834))
POLYGON ((83.3320062 26.8632584,83.4703545 26.5776443,83.336188 26.6666743,83.3287459 26.8854649))
