POLYGON ((87.9322079 24.7700117,85.3811194 25.1300742,83.3088697 26.3519297,85.582578 27.8492034,88.4280294 26.0321278,88.1774074 24.8789453))
POLYGON ((83.1538203 25.3154947,83.03541 25.3238983))
POLYGON ((88.7126578 26.2665442,88.754523 26.4754773,88.8554984 26.5398294))
POLYGON ((84.0148407 25.615332,84.0348772 25.9691593,84.1147319 25.7244381))
POLYGON ((88.585234 26.417926,88.4584594 26.5991315,88.5788015 26.4802567,88.3630595 26.4781133,88.1783284 26.2914242))
POLYGON ((88.8711034 24.2314854,88.5480729 24.2557631,88.3749976 24.3357139,88.244784 24.5618391))
POLYGON ((88.9322666 25.7829542,88.9413865 25.8483388,88.9414134 25.8482798))
