created-at,username,text,geo-loc,place-bbox,usr-loc,extr-places,extr-latlon
2017-08-17 11:34:16,rahulsahu96782,"RT @ripunbora: Today visited flood affected areas of Chenga LAC,  Baghbor LAC and Sarbogh LAC of Barpeta district . Visited... https://t.co…",,,"West Karbi Anglong, Assam.",#,
2017-08-17 11:33:22,manoj_cherukat,"RT @SushantSin: The teacher seen saluting the flag here, his cousin died due to drowning in flood water, hours after this photograph was ta…",,,"Kozhikode, India",RT,
2017-08-17 11:33:00,sanjayuvacha,"RT @SushantSin: The teacher seen saluting the flag here, his cousin died due to drowning in flood water, hours after this photograph was ta…",,,Delhi. India,RT,
2017-08-17 11:32:46,vola_news,"Assam Association, Mumbai Donates Boat, Food and Flood Relief items
https://t.co/o1DNZaooXg",,,"Assam, India",Assam Association| Mumbai Donates Boat| Food| Flood Relief,[][][][]
2017-08-17 11:32:43,parmeshwarjhaa,Distributed hygiene kit to flood affected in Kanchanroop municipality 1 Bairawa. #NepalFlood2017 https://t.co/EmjTOpk5jw,,,Rajbiraj Nepal,Kanchanroop| NepalFlood2017,[][]
2017-08-17 11:32:41,NeelPMehta2,"RT @KANABARDr: Whether there is flood or flue 
Vijay Rupani is there to rescue @narendramodi @AmitShah @CMOGuj @vijayrupanibjp @BJP4India @…",,,,RT| Vijay Rupani,[]
2017-08-17 11:32:22,NewsAssam,"Train services disrupted in Assam, West Bengal and Bihar as flood situation worsens - Firstpost https://t.co/qPrkeRcAii #Assam",,,"Guwahati, Assam",Train| Assam| West Bengal| Bihar,[][][][]
2017-08-17 11:32:12,AquarianTruths,WTF... Kuch Bhi.. logic lagao.. WhatsApp pad pad kee.. Rice is grown in Thailand and Vietnam only during flood seas… https://t.co/uSM9RYbkvC,,,Pune,WTF| WhatsApp| Thailand| Vietnam,[][][][]
2017-08-17 11:31:21,ripunbora,"Today visited flood affected areas of Chenga LAC,  Baghbor LAC and Sarbogh LAC of Barpeta district . Visited... https://t.co/KeZPGKoS2D",,,"Guwahati, Assam, India",Chenga LAC| Baghbor LAC| Sarbogh LAC| Barpeta,[][][][]
2017-08-17 11:31:20,whatnwhen,"Bihar, UP floods: Villages submerged, death toll reaches 72 https://t.co/OnuQAlaqL3 #IndiaNews #Headlines",,,India,Bihar,[]
2017-08-17 11:30:48,RaviKum38212988,"RT @IndiaToday: Flood wrecks havoc in Bihar, Bengal, Assam &amp; UP
#ITVideo
More videos https://t.co/NounxnP7mg https://t.co/ACU7XOdOu6",,,India,RT| Bihar| Bengal| Assam| ITVideo More,[][][][]
2017-08-17 11:30:44,RBPPLink,RT @DhakaTribune: Flood #kills at least #57 in #13districts https://t.co/7YYlWnEpKS via @DhakaTribune,,,Rochdale & Sylhet,RT,
2017-08-17 11:30:16,ankitraja14,@askGST_GoI  taxable goods supplied to disaster management for flood releif.Is it taxable??,,,india,askGST_GoI,[]
2017-08-17 11:29:56,RBPPLink,RT @DhakaTribune: #Two Bangladeshis #die taking flood #selfies as crisis worsens https://t.co/7herROaRWh via @DhakaTribune,,,Rochdale & Sylhet,RT,
2017-08-17 11:29:49,VivekKu38990963,@laluprasadrjd @yadavtejashwi Ye Samay baadh pd2 (flood victims) ki madad karne ka hai na ki road show Aur meeting… https://t.co/1iWpx9yHej,,,India,,[]
2017-08-17 11:29:43,KrprabhakarJha,"@RailMinIndia 
I hv tatkal tikt in shc garibrath with 3more people,they missed train due to snap of road communication due to flood",,,Delhi,,[]
2017-08-17 11:28:18,Prashantj_ecce,"RT @IndianExpress: Renewed flooding has killed 56 people since Saturday
https://t.co/p5Db5A1VlW",,,"Jabalpur, India",RT,
2017-08-17 11:26:45,SandeshKatwal,Support from one family to needy family #Nepal #Terai #flood victim #Office staff #Support Humanitarian Brrr https://t.co/p5JT7Z61P3,,,Kathmandu,Support,[]
2017-08-17 11:26:45,Bhola4U,"RT @SushantSin: The teacher seen saluting the flag here, his cousin died due to drowning in flood water, hours after this photograph was ta…",,,"India,UAE,Bahrain ",RT,
2017-08-17 11:25:20,MSunnyLeoneFan,"RT @ibtimes_india: | #VIDEOS |
 
@SunnyLeone fans flood #MGRoad in #Kochi; bring traffic to a halt

https://t.co/dk0Gu9vH1D",,,India,RT| VIDEOS| MGRoad| Kochi,[][][]
2017-08-17 11:24:38,Mchawda89,"RT @ANI: 119 NDRF teams rescued 1334 people, evacuated 35000 people &amp; 142 livestock from flood affected areas of Assam, Bihar &amp; UP. https:/…",,,"Abu Dhabi, United Arab Emirates",#,
2017-08-17 11:24:29,masudulkadir1,child of flood at  Bangladesh https://t.co/0Bfy2wcarL,,,"Dhaka, Bangladesh",Bangladesh,[]
2017-08-17 11:24:13,halimrajakhan,flood in bangladesh this year 2017 https://t.co/SouK4v7lWK,,,Bangladesh,,[]
2017-08-17 11:24:09,roshgollah,"You can send charity for flood victims this account. no- JAMMS ENTERPRISE, 20501180100499000, ISLAMI BANK BANGLADES… https://t.co/Ah0XQ5cVSX",,,"Dhaka, Bangladesh",JAMMS ENTERPRISE| ISLAMI BANK,[][]
2017-08-17 11:23:50,GauravV25701499,"RT @IndiaToday: Flood wrecks havoc in Bihar, Bengal, Assam &amp; UP
#ITVideo
More videos https://t.co/NounxnP7mg https://t.co/ACU7XOdOu6",,, Alighar Vill.Pisawa,RT| Bihar| Bengal| Assam| ITVideo More,[][][][]
2017-08-17 11:23:45,ishareef639,"RT @IndiaToday: Flood situation remains grim in Bihar, floodwater submerges Sugauli Railway station. Watch this report by @rohit_manas.​ #I…",,,"India,KSA,Qatar,USA",RT| Bihar| Sugauli Railway,[][]
2017-08-17 11:23:45,ravikant55,@IndiaToday Eastern part of India badly affected by Severe Flood situation Extra water must be diverted to Thar desert Rajasthan,,"[[[74.712422, 24.242697], [75.121635, 24.242697], [75.121635, 24.585118], [74.712422, 24.585118]]]","Madhya Pradesh, India",India| Severe Flood| Thar,[][][]
2017-08-17 11:23:31,Diya_Mj,"RT @IndiaToday: Flood wrecks havoc in Bihar, Bengal, Assam &amp; UP
#ITVideo
More videos https://t.co/NounxnP7mg https://t.co/ACU7XOdOu6",,,,RT| Bihar| Bengal| Assam| ITVideo More,[][][][]
2017-08-17 11:23:27,wockjkm,"RT @SushilModi: Just returned from aerial survey of flood affected W&amp; E Champaran along with CM. Sugauli, Adapur,Manjhaulia worst.",,,Darbhanga bihar,RT| Sugauli| Adapur| Manjhaulia,[][][]
2017-08-17 11:23:11,rao_n10,RT @neelimaakash: Please pray for all the flood affected areas🙏,,,,RT,
2017-08-17 11:22:47,saambd_org,"We all know that Rangpur zone is badly affected by flood
So,we are planning to visit Lalmonirhat &amp; Kurigram with dr… https://t.co/5n1evCgdja",,,"Dhaka, Bangladesh",Rangpur,[]
2017-08-17 11:22:44,harisshkpandey,RT @sohansingh18: Rescue of a child in Katihar (Kadwa) by a Jawan of the Army Unit from Jamshedpur that was flown overnight for rescue in f…,,,India,RT| Katihar| Army Unit| Jamshedpur,[][][]
2017-08-17 11:22:24,HEERARAJ7,"RT @IndiaToday: Flood wrecks havoc in Bihar, Bengal, Assam &amp; UP
#ITVideo
More videos https://t.co/NounxnP7mg https://t.co/ACU7XOdOu6",,,,RT| Bihar| Bengal| Assam| ITVideo More,[][][][]
2017-08-17 11:22:20,samacharlive,Bus services resume in flood-hit Bengal https://t.co/20RKmWiYit #samachar #news,,,India,Bus| Bengal,[][]
2017-08-17 11:22:00,english_post,"Thousands living under open sky in flood-hit #Bihar
https://t.co/QY43a4IfVA  #BiharFlood",,,India,BiharFlood,[]
2017-08-17 11:21:37,satzm,"RT @IndiaToday: Flood wrecks havoc in Bihar, Bengal, Assam &amp; UP
#ITVideo
More videos https://t.co/NounxnP7mg https://t.co/ACU7XOdOu6",,,vellore,RT| Bihar| Bengal| Assam| ITVideo More,[][][][]
2017-08-17 11:21:25,nepalnewsnow,"Communication, access surface as top challenges in Nepal flood response https://t.co/hU0Onz4fQx",,,"Kathmandu, Nepal",Communication| Nepal,[][]
2017-08-17 11:20:50,IndiaToday,"Flood wrecks havoc in Bihar, Bengal, Assam &amp; UP
#ITVideo
More videos https://t.co/NounxnP7mg https://t.co/ACU7XOdOu6",,,India,Flood| Bihar| Bengal| Assam| ITVideo More,[][][][][]
2017-08-17 11:20:01,CShashikantjha,"RT @SushilModi: Just returned from aerial survey of flood affected W&amp; E Champaran along with CM. Sugauli, Adapur,Manjhaulia worst.",,,,RT| Sugauli| Adapur| Manjhaulia,[][][]
