lat,lon
22.258652,71.1923805
15.656563,80.009474
22.258652,71.1923805
26.2006043,92.9375739
41.9216582,-87.6524064
13.7515912,100.4926579
14.0666954,100.6472345
25.7710893,73.3234478
13.7515912,100.4926579
14.0666954,100.6472345
24.8851548,72.8574558
13.7515912,100.4926579
14.0666954,100.6472345
24.8851548,72.8574558
40.071844,-75.005942
37.2923509,-78.73278
22.258652,71.1923805
52.4765588,-1.9009001
25.449928,81.8600809
42.3398067,-71.0891717
56.677953,12.8577661
37.2923509,-78.73278
22.3108505,73.1538884
24.1531888,71.357201
24.3454739,71.7622481
7.369722,12.354722
37.3975915,-121.9108293
44.960655,-93.2940543
22.2865721,70.8015519
24.8851548,72.8574558
25.449928,81.8600809
41.149001,24.1470796
22.258652,71.1923805
25.449928,81.8600809
13.7515912,100.4926579
14.0666954,100.6472345
25.449928,81.8600809
13.7515912,100.4926579
14.0666954,100.6472345
13.7515912,100.4926579
14.0666954,100.6472345
3.157978,101.6950278
43.2553016,-79.0723872
37.2923509,-78.73278
13.7515912,100.4926579
14.0666954,100.6472345
25.449928,81.8600809
46.8852,-56.3159
28.0663381,-82.42522
28.2179994,94.7277528
26.2006043,92.9375739
24.6637173,93.9062688
23.164543,92.9375739
26.1584354,94.5624426
24.3454739,71.7622481
39.4091651,-85.0094584
41.149001,24.1470796
22.258652,71.1923805
13.0247947,77.5556222
13.7515912,100.4926579
14.0666954,100.6472345
44.9481672,-93.0884364
44.9481672,-93.0884364
28.5146995,77.3012116
26.9040573,75.7753202
13.7515912,100.4926579
14.0666954,100.6472345
24.8851548,72.8574558
22.258652,71.1923805
15.656563,80.009474
22.258652,71.1923805
25.7710893,73.3234478
26.2006043,92.9375739
24.8851548,72.8574558
25.449928,81.8600809
25.449928,81.8600809
22.258652,71.1923805
15.656563,80.009474
22.258652,71.1923805
25.7710893,73.3234478
24.8851548,72.8574558
13.7515912,100.4926579
14.0666954,100.6472345
25.449928,81.8600809
25.7710893,73.3234478
24.8851548,72.8574558
25.449928,81.8600809
46.8852,-56.3159
24.8851548,72.8574558
25.7710893,73.3234478
28.5983159,83.9310623
