created-at,username,text,geo-loc,place-bbox,usr-loc,extr-places,extr-latlon
2017-09-05 23:48:10,kirant_raj,RT @Richard_Nepal: Useful to be with @NepalRedCross seeing work to help flood victims funded by British Government through @DFIDNepal @UKai…,,,,RT| British,"[54.9634416,-1.6525757]"
2017-09-05 23:47:56,kirant_raj,RT @Richard_Nepal: Helpful to talk to victims in Dathora to understand issues related to flood relief. @UKaid providing range of assistance…,,,,RT| Dathora| UKaid,[][]
2017-09-05 23:46:25,jefe_viejo,"Flood Warning for Pasco Co, Florida https://t.co/LIC2VySWBU",,,run,Flood| Pasco Co| Florida,"[37.2923509,-78.73278][][]"
2017-09-05 23:46:00,jefe_viejo,"Flood Warning for Sarasota Co, FL https://t.co/doL5VaI4WL",,,run,Flood| Sarasota Co| FL,"[37.2923509,-78.73278][][]"
2017-09-05 23:45:00,jefe_viejo,"Flood Warning for DeSoto County, FL https://t.co/yUYZphn9qZ",,,run,Flood| DeSoto County| FL,"[37.2923509,-78.73278][][]"
2017-09-05 23:01:58,Indilens,#Breaking_News (Geek Trivia: The Largest Known Freshwater Flood In All Of History Is Known As The?) - https://t.co/3yQQc2mFZu via #Indilens,,,India,Geek Trivia| Largest Known Freshwater Flood| History Is Known,[][][]
2017-09-05 22:23:09,ViralKickass,Haunting Video Shows Man Playing Piano Inside His Flooded Home https://t.co/2WqdZ90gB3 #viral #RT #trending,,,"Kolkata, India",Video Shows Man| Flooded Home,[][]
2017-09-05 22:21:05,Priyam0Mahajan,"Houston one week on: relief, religion, recovery – in pictures https://t.co/W7XqusaRl8 #World #Peace https://t.co/umG3GQPmgQ",,,Kolkata,Houston,"[29.7604267,-95.3698028]"
2017-09-05 22:09:38,SoeMinn10,"@StrangerGharib No.It may be flood of Bengladesh.
You know yourself.Dont make a fake and don't try to lie the World",,,Myanmar,StrangerGharib| Bengladesh,[][]
2017-09-05 22:07:38,India_Blogger,"#Google.org commits $1mn for flood victims in #India, Nepal https://t.co/JbNHRTwBpN https://t.co/kJQWeoy3in",,,India,Nepal,"[28.394857,84.124008]"
2017-09-05 22:02:52,Madhumita106,@SureshGoduka @mygovassam Flood... Their usual reason.. He he,,,Guwahati,Flood,"[37.2923509,-78.73278]"
2017-09-05 21:48:09,nicaia,"Feeling like #Whitefield is just going to pull a #dam on us tomorrow, with all this rain. #BengaluruRains #Bengaluru #flood (?)",,,India,Whitefield| BengaluruRains,"[][13.1573953,77.6016927]"
2017-09-05 21:47:29,MAlib4eva,"Two immigrant men, including a DACA recipient, died trying to rescue Harvey flood victims https://t.co/TZbbyYpgXx",,,MA,DACA| Harvey,"[][29.9035387,-90.0772944]"
2017-09-05 21:42:39,nehru48951564,@JustdialUS u must be roasted in fire flood has come especialy for ue sin in future fire will come..anger of god awaits mumbai and world,,"[[[72.958588, 18.986727], [73.113183, 18.986727], [73.113183, 19.206734], [72.958588, 19.206734]]]","New Delhi, India",JustdialUS,[]
2017-09-05 21:33:24,jbkavungal,Geek Trivia: The Largest Known Freshwater Flood In All Of History Is Known As The? https://t.co/kJj9E26aiT,,,"Hyderabad, India",Geek| Trivia| Largest Known Freshwater Flood| History Is Known,[][][][]
2017-09-05 21:32:32,texancool,RT @JCgonzalezIndia: I share my music100% of this album will go to the Houston flood relief. I grew up in Houston there so I want to help h…,,,"Texas, USA",RT| Houston| Houston,"[29.7604267,-95.3698028][29.7604267,-95.3698028]"
2017-09-05 21:26:59,nehru48951564,next flood will devastate microsoft and others.,,"[[[72.958588, 18.986727], [73.113183, 18.986727], [73.113183, 19.206734], [72.958588, 19.206734]]]","New Delhi, India",,[]
2017-09-05 21:16:32,SatapathyS71,RT @goonj: A simple yet powerful thing you can do today. Reach out to the #flood affected across 9 states through @donatekart https://t.co/…,,,,RT,
2017-09-05 20:54:45,jha_mukesh_,RT @ajaykumar2697: @Awadhesh781962 @ramashankarbk @satishchoubey7 @BJPAbhi1 @The_identity7 @Indiaaakash @M108P @NyolOnline @kapil9994 @megh…,,,पाकिस्तान के बाप के घर से🇮🇳,RT,
2017-09-05 20:48:51,ranjanadixit,"RT @Sanjay_Dixit: With 11,000 volunteers, RSS quietly makes its mark on Bihar flood relief  https://t.co/ovSCAnQstG",,,"Marietta, GA",RT| RSS| Bihar,"[44.9481672,-93.0884364][25.0960742,85.3131194]"
2017-09-05 20:48:33,a_sharique,"RT @firstpost: When it comes to flood relief, #Centre is being biased towards certain states  https://t.co/o6OxCe3w1q",,,"Calcutta, India ",RT| Centre,"[32.8374242,-96.7772491]"
2017-09-05 20:46:29,shailendra_nair,Texas churches sue FEMA for equal access to Harvey flood aid https://t.co/rgJrHA1r2W https://t.co/oqIYa1qClm,,,"Mumbai, India",Texas| FEMA| Harvey,"[31.9685988,-99.9018131][38.3979175,-81.5699455][29.9035387,-90.0772944]"
2017-09-05 20:45:14,thehillstimes,Flood Situation in Bihar improves https://t.co/I1iNNrIERq https://t.co/C66qV5gfNS,,,"Guwahati, India",Flood Situation,[]
2017-09-05 20:44:52,babun1515,"RT @firstpost: #BiharFloods: The department said 1,20,659 beneficiaries received flood assistance from the #Bihar govt https://t.co/Y7O3cfG…",,,"Kolkata, India",RT,
2017-09-05 20:38:15,jbkavungal,IDC sees a Flood of AR Apps rushing to market in Q4 and 2018 due to Apple's ARKit while VR Headsets Slump https://t.co/kfdVG1rt97,,,"Hyderabad, India",IDC| AR Apps| Apple| ARKit| VR Headsets Slump,[][][][][]
2017-09-05 20:31:29,Isabell16563822,RT @BSS01736288: flood affected people of north Bengal...... https://t.co/UHniYiuGO6,,,,RT| Bengal,"[22.9867569,87.8549755]"
2017-09-05 20:26:30,Ega_bun,@boweaver11 @DarthZapata @SallyAlbright Russia is impotent and stupid. Russia believes it can flood facebook and ch… https://t.co/ZrarhkGY7U,,,RUN,Russia| Russia,"[61.52401,105.318756][61.52401,105.318756]"
2017-09-05 20:16:50,manojcprajapati,I’m reaching out to ask for your support for my online fundraiser: “Gujarat 2017 Flood impacted people want... https://t.co/IiuhrYecWW,,,AHMEDABAD,,[]
