created-at,username,text,geo-loc,place-bbox,usr-loc,extr-places,extr-latlon
2017-08-28 23:54:34,aliarqam,"@hyzaidi #Karachi absorbed migration from KP/FATA, frm other districts of #Sindh post 2010 flood, &amp; #Balochistan in… https://t.co/OAbHA3PYEk",,,Karachi,Karachi| Balochistan,"[24.8614622, 67.0099388][28.4907332, 65.0957792]"
2017-08-28 23:49:45,NewsTread,Houston expected to get 17 times more rain than fell on Calgary during the 2013 flood -  https://t.co/9QbsperMXs https://t.co/AFLFhBtLhH,,,India,Houston,"[29.7604267, -95.3698028]"
2017-08-28 23:45:14,SpudLovr,"If you donate to Houston flood victims via Boys &amp; Girls of WI, you've done more than Joel Olsteen https://t.co/ANmhX4iyIx #wiunion #wiright",,,WI,Houston| Boys| Joel Olsteen,"[29.7604267, -95.3698028][50.8163523, 5.669093][29.7303278, -95.4346238]"
2017-08-28 23:40:28,fenklohyfan1988,"RT @samironphukan: Assamese community of Pune-ASOMI-sent relief material toAssam's flood effected people.Blessed to be part of it.
@CMOffic…",,,,#,
2017-08-28 23:38:13,madhav115,"Drmanish_soni: Even after the flood waters are gone, the health threats of Tropical Storm Harvey could persist -- what to know:… …",,,"Jodhpur, Rajasthan",Drmanish_soni| Tropical Storm Harvey,"[37.6213029, -77.5565235][39.225013, -90.9220472]"
2017-08-28 23:29:51,bUmBLiNG_b33,"A flood rivaling Noah's Ark (if you believe in that sort of thing), &amp; a so-called ""megachurch"" will not even open i… https://t.co/HvtlvCUHZY",,,WI,Noah,"[35.575054, -86.19268799999999]"
2017-08-28 23:27:39,LadheAbhay,RT @SriSri: Art of Living volunteers in Bihar did not lag behind. They too have sprung into action for flood relief in Champaran. https://t…,,,,#,
2017-08-28 23:22:42,ParthPa07241800,RT @ChaudhryShankar: I met and had a great interaction with the locals and assured them of proper &amp; timely assessment of the damage caused…,,,"Ahmedabad,India",RT,
2017-08-28 23:18:29,ParthPa07241800,RT @ChaudhryShankar: Went to Radhanpur &amp; met people of Najupura village. Heard their flood related issues and assured them of action. https…,,,"Ahmedabad,India",#,
2017-08-28 23:05:10,safeerkhan627,"i wish for sian,lily,aranza,izzy to be save from flood",,"[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]",United Arab Emirates,,[]
2017-08-28 23:04:27,Bis_Sandeep,Nepal to distribute Rs. 1.25 billion relief aid to flood-hit farmers https://t.co/a3w2kSrz6M https://t.co/DWpqhN4BiA,,,"Kolkata, India",Nepal,"[28.394857, 84.12400799999999]"
2017-08-28 22:54:42,YNHallak,RT @ndtv: Nepal to distribute Rs. 1.25 billion relief aid to flood-hit farmers https://t.co/JQRx578MTz https://t.co/aGMAkJg1bR,,,"Boston, Massachusetts ",RT,
2017-08-28 22:46:12,Sahidsh07236786,Silvassa shocking flood video 2017 28/8/17: https://t.co/OCgE3dQm8k via @YouTube,,,India gujarat,Silvassa,"[20.2762659, 73.0083061]"
2017-08-28 22:45:13,24LovelynBH,RT @RanaSarkar: More relief going 2 flood affected people...thanx 4 all support @srijitspeaketh @iammony @Jisshusengupta @SuvonkarB &amp; team…,,,,RT,
2017-08-28 22:42:56,Piyu_kangu,"RT @ndtv: #BiharFloods | Flood situation improves in Bihar, number of dead at 514 https://t.co/XR5HslDmtU https://t.co/ZYijqDhHJt",,,New Delhi,RT| BiharFloods| Bihar,"[25.5832852, 85.09756569999999][25.0960742, 85.31311939999999]"
2017-08-28 22:39:37,8JcoleNC,"RT @WBPolice: Arranging shelter, food for the flood affected people at Balurghat by #DakshinDinajpurPolice https://t.co/rHIChWyTog",,,,RT| Balurghat,"[25.2372834, 88.7830612]"
2017-08-28 22:35:22,sanjeetkumarit,"RT @ndtv: #BiharFloods | Flood situation improves in Bihar, number of dead at 514 https://t.co/XR5HslDmtU https://t.co/ZYijqDhHJt",,, Neanderthal Cro-Magnon,RT| BiharFloods| Bihar,"[25.5832852, 85.09756569999999][25.0960742, 85.31311939999999]"
2017-08-28 22:32:54,Xamerican,HOUSTON LIBERAL  OFFICIALS DOWNPLAYED FLOOD WARNINGS AS “FAKE NEWS” https://t.co/8XsBjrjBSw,,,On the outside looking in,HOUSTON,"[29.7604267, -95.3698028]"
2017-08-28 22:32:35,DBDrummo99,Trump removed Obama's flood protection laws just days before Hurricane Harvey hit https://t.co/9WuJj9Yc5Y,,,Indy,Trump| Obama| Hurricane Harvey,"[36.1295381, -115.1725684][35.4955931, 135.7466439][39.225013, -90.9220472]"
2017-08-28 22:32:04,dpandey00,RT @Uddyogofficial: Check out our relief project in flood affected area of north bengal https://t.co/y34CyvsMHB,,,तीर्थराज प्रयाग🙏,RT,
2017-08-28 22:16:34,bbltweet,News: Alligator Sanctuary On Alert As Flood Threatens To Unleash Hundreds Of Gators /entry/gator-sanctuary-flooding_us_59a46b1be4b0446b3b85…,,,"Karachi, Pakistan",Alert As Flood| Unleash Hundreds Of Gators,[][]
2017-08-28 22:11:19,bbltweet,New: Alligator Sanctuary On Alert As Flood Threatens To Unleash Hundreds Of Gators /entry/gator-sanctuary-flooding_us_59a46b1be4b0446b3b859…,,,"Karachi, Pakistan",New| Alert As Flood| Unleash Hundreds Of Gators,"[41.8876736, -87.6236084][][]"
2017-08-28 22:10:26,WorldFastNewz,New post (Joel Osteen's Houston Megachurch Can't Open Because of Flood Waters) has been published on  -… https://t.co/gTQVUKl5Ii,,,भारत,New| Joel Osteen| Houston Megachurch Ca| Flood Waters,"[41.8876736, -87.6236084][29.7303278, -95.4346238][33.8679819, -117.9333757][]"
2017-08-28 22:03:18,IntellectualMin,@JoelOsteen hey why don't u open your church to flood survivors cunt . Show ur Christian values .,,,Int,JoelOsteen| Show| Christian,"[29.7303278, -95.4346238][40.7637545, -73.98283450000001][36.8410586, -87.460397]"
2017-08-28 21:51:06,RainbowBird1986,"RT @docjazzmusic: Solidarity with Houston, yes. But don't be a hypocrite ignoring 1200 flood deaths in the past 3 days, in another... https…",,,The Netherlands ☮ Rainbow City,#,
2017-08-28 21:41:19,Avalurian,‘Need help ASAP.’ The story behind the photo of nursing home residents trapped in hurricane flood water https://t.co/KQRlynjp62,,,  Bengaluru,,[]
2017-08-28 21:40:29,News365247live,RT @ndtv: Nepal to distribute Rs. 1.25 billion relief aid to flood-hit farmers https://t.co/JQRx578MTz https://t.co/aGMAkJg1bR,,,Everywhere,RT,
2017-08-28 21:40:23,imsachinlucky,"RT @ndtv: #BiharFloods | Flood situation improves in Bihar, number of dead at 514 https://t.co/XR5HslDmtU https://t.co/ZYijqDhHJt",,,ѕαв к ∂ιℓ мє...!!,RT| BiharFloods| Bihar,"[25.5832852, 85.09756569999999][25.0960742, 85.31311939999999]"
2017-08-28 21:35:06,AyesigCollin,"RT @WBPolice: Rescuing flood affected people &amp; arranging food, shelter for them by Dakshin Dinajpur District Police https://t.co/lMWaeJZkGg",,,uganda #badguys http://www.instagram.com/ayesigacollin6,RT| Dakshin Dinajpur District,"[25.3715308, 88.55653099999999]"
2017-08-28 21:34:44,pranesh711gr,RT @ndtv: Nepal to distribute Rs. 1.25 billion relief aid to flood-hit farmers https://t.co/JQRx578MTz https://t.co/aGMAkJg1bR,,,"Malgudi, India",RT,
2017-08-28 21:34:11,neerajnirwals,Nepal to distribute Rs. 1.25 billion relief aid to flood-hit farmers https://t.co/XDAgiNcV47 https://t.co/RdzFEia1P4,,,India,Nepal,"[28.394857, 84.12400799999999]"
2017-08-28 21:32:00,rohitsingh_3400,"Tropical Storm Harvey raises red flags on infrastructure, #climate planning https://t.co/StV1aQ3536 #globalwarming",,,"Thane, India",Tropical Storm Harvey,"[39.225013, -90.9220472]"
2017-08-28 21:31:42,mobsolnIN,"Fire ants survive Houston flooding by creating terrifying rafts made of their bodies https://t.co/nWVYHKrlu2 https://t.co/9kcCleaIYh

— M…",,,India,Fire| Houston,"[41.483256, -81.58966][29.7604267, -95.3698028]"
2017-08-28 21:31:09,waseemqadiri,RT @ndtv: Nepal to distribute Rs. 1.25 billion relief aid to flood-hit farmers https://t.co/JQRx578MTz https://t.co/aGMAkJg1bR,,,,RT,
2017-08-28 21:30:01,ndtv,Nepal to distribute Rs. 1.25 billion relief aid to flood-hit farmers https://t.co/JQRx578MTz https://t.co/aGMAkJg1bR,,,India,Nepal,"[28.394857, 84.12400799999999]"
2017-08-28 21:29:24,aksh_ay360,mashable : Fire ants survive Houston flooding by creating terrifying rafts made of their bodies… https://t.co/d4kOEg5cmG,,,"Mumbai, India",Houston,"[29.7604267, -95.3698028]"
2017-08-28 21:26:10,tfosi,Flood damage from Harvey may match Katrina – insurance group https://t.co/U7QGqCAzed,,,Chennai,Flood| Harvey| Katrina,"[37.2923509, -78.73277999999999][29.9035387, -90.0772944][38.5685023, -89.9616325]"
2017-08-28 21:26:09,mirchiwoods,Flood damage from Harvey may match Katrina – insurance group https://t.co/jriqT9qMfX,,,Hyderabad,Flood| Harvey| Katrina,"[37.2923509, -78.73277999999999][29.9035387, -90.0772944][38.5685023, -89.9616325]"
2017-08-28 21:25:44,DHQLounge,Fire ants survive #Houston flooding by creating terrifying rafts made of their bodies https://t.co/6qTLfREhHo,,,Karachi,Fire| Houston,"[41.483256, -81.58966][29.7604267, -95.3698028]"
2017-08-28 21:25:42,DHQLounge,"Tropical Storm Harvey raises red flags on infrastructure, #climate planning https://t.co/cnC9oDEzd9 #globalwarming",,,Karachi,Tropical Storm Harvey,"[39.225013, -90.9220472]"
2017-08-28 21:24:03,IamM_adeel,"Keep Safe Flood Victoms. 
Pray for Houston. 
#houstonflood 
#HoustonStrong",,,"Karachi, Pakistan ",Keep Safe Flood Victoms| Pray| Houston| HoustonStrong,"[][45.3799612, -110.6819336][29.7604267, -95.3698028][]"
2017-08-28 21:15:49,Shearere13,RT @DHQLounge: Fire ants survive #Houston flooding by creating terrifying rafts made of their bodies https://t.co/AnKaYhx9By,,,,RT| Houston,"[29.7604267, -95.3698028]"
2017-08-28 21:14:11,DHQLounge,"Tropical Storm Harvey raises red flags on infrastructure, #climate planning https://t.co/NKhok4cduY #globalwarming",,,Karachi,Tropical Storm Harvey,"[39.225013, -90.9220472]"
2017-08-28 21:14:08,DHQLounge,Fire ants survive #Houston flooding by creating terrifying rafts made of their bodies https://t.co/AnKaYhx9By,,,Karachi,Fire| Houston,"[41.483256, -81.58966][29.7604267, -95.3698028]"
2017-08-28 21:02:28,veooz,S.C. ready to send help to flood-ravaged Texas via @veooz https://t.co/OyRZpZjt2T,,,"Hyderabad, Andhra Pradesh",,[]
2017-08-28 20:52:20,monalisharma10,"Tropical Storm Harvey raises red flags on infrastructure, #climate planning https://t.co/ltDExbsYQv #globalwarming",,,"Kolkata, India",Tropical Storm Harvey,"[39.225013, -90.9220472]"
2017-08-28 20:51:16,mobsolnIN,"#Harvey shows why Trump's recent infrastructure order is so harmful https://t.co/Sv28E7cB4D

— Mashable (@mashable) August 28, 2017 - mob-…",,,India,Harvey| Trump,"[29.9035387, -90.0772944][36.1295381, -115.1725684]"
2017-08-28 20:50:43,jdsoni7,mashable : #Harvey shows why Trump's recent infrastructure order is so harmful https://t.co/WI0ywe4d2N (via Twitt…… https://t.co/lF2YnzmAVo,,,India,Harvey| Trump,"[29.9035387, -90.0772944][36.1295381, -115.1725684]"
2017-08-28 20:49:13,aksh_ay360,mashable : #Harvey shows why Trump's recent infrastructure order is so harmful https://t.co/Op16gOEz2J (via Twitter… https://t.co/JFyn1OdcxJ,,,"Mumbai, India",Harvey| Trump,"[29.9035387, -90.0772944][36.1295381, -115.1725684]"
