created-at,username,text,geo-loc,place-bbox,usr-loc,extr-places,extr-latlon
2017-08-31 22:27:50,bibiriba,RT @stc_india: Flood situation in #Bihar is alarming with the death toll crossing the 300 mark and 51 people losing their lives since Sunda…,,,,RT,
2017-08-31 22:25:17,AtulMohan2,RT @Chellaney: Now that the standoff is over will India speak up on China's breach of legally binding commitments to share flood-related hy…,,,India,RT| China,"[35.86166,104.195397]"
2017-08-31 22:24:38,ZoeVictoriaEtc,"RT @DFIDNepal: UK has allocated £400,000 in support to the flood response in Nepal through Nepal Red Cross @NRCS_ &amp; IFRC 
https://t.co/BGxe…",,,"Eugene, OR | Oly, WA native ",RT| Nepal| Nepal Red Cross| IFRC,"[28.394857,84.124008][27.699438,85.2903429][40.7526842,-73.9759022]"
2017-08-31 22:23:50,Shadhin3717,Help for the flood affected people https://t.co/Yt0VWVBylW,,"[[[89.3488235, 22.8894691], [91.3085938, 22.8894691], [91.3085938, 25.3072923], [89.3488235, 25.3072923]]]","Dhaka, Bangladesh",Help,"[36.115687,-115.1316239]"
2017-08-31 22:23:36,ShashGhosh,"Top story: J.J. Watt Raises Millions For Flood Relief, Making Charitable Crowdf… https://t.co/XnKzLDN2DK, see more https://t.co/MBhjgD6Meg",,,"Mumbai, India",Flood Relief| Charitable,"[42.0288918,-88.2585412][39.952999, -82.9936149]"
2017-08-31 22:20:50,Shelteringlove,RT @RAMKISHORMANN1: BORDER SECURITY FORCE guarding International Border of India during all types of odd climatic conditions either it may…,,,In your heart.,RT| BORDER| International Border| India,"[32.5444156, -117.0301235][32.5437979, -116.9364808][20.593684,78.96288]"
2017-08-31 22:20:15,Shelteringlove,RT @stc_india: Flood situation in #Bihar is alarming with the death toll crossing the 300 mark and 51 people losing their lives since Sunda…,,,In your heart.,RT,
2017-08-31 22:20:13,Shelteringlove,RT @stc_india: We are responding in worst flood-torn districts of #Bihar We hve distributed 200 non-food items kits in Kishanganj &amp; Sitamah…,,,In your heart.,RT| Kishanganj,"[25.6843,86.9474]"
2017-08-31 22:19:43,Shelteringlove,"RT @hashguwahati: Assam flood: Flood toll rises to 148 as three more die, Morigaon worst hit - Times of India https://t.co/G4R1l5Oig9 #Guwa…",,,In your heart.,RT| Morigaon| India,"[26.2599654,92.2630393][20.593684,78.96288]"
2017-08-31 22:19:28,Shelteringlove,"RT @TNT_Magazine: #Guwahati #Agartala #NorthEastIndia Northeast India flood fury: No rail network for 11 days.
https://t.co/gta3mrJtD9 http…",,,In your heart.,RT| NorthEastIndia Northeast India,[]
2017-08-31 22:19:21,Shelteringlove,RT @habitatindia: Habitat For Humanity India has been on ground working to help the flood affected #families in the North East. On... https…,,,In your heart.,#,
2017-08-31 22:19:16,younews_in,"Google commits $1 million for flood victims in India, Nepal https://t.co/V995tsMfoM",,,India,Google| India| Nepal,"[40.7406375,-74.0020388][20.593684,78.96288][28.394857,84.124008]"
