created-at,username,text,geo-loc,place-bbox,usr-loc,extr-places,extr-latlon
2017-08-29 19:09:59,mmaunishpandya,"RT @republic: Richest body in Asia, but not a paisa to spare for citizen welfare? Tweet us using #MumbaiFlooded https://t.co/cqUgBg7PgR",,,"Mumbai, India",RT| Asia| MumbaiFlooded,"[34.047863,100.6196553][]"
2017-08-29 19:09:56,smiskia1,"RT @BSP4Mumbai: #MumbaiRains 
Live situation at Thane station. #MumbaiFlooded #RainHosts  https://t.co/x0oYEWf45V",,,,RT| MumbaiRains Live| Thane,"[19.0238031, 73.0423727][19.2183307,72.9780897]"
2017-08-29 19:09:54,mmaunishpandya,"RT @republic: Despite warning from HC, why did civic body drown Mumbai with apathy? Send us your responses using #MumbaiFlooded https://t.c…",,,"Mumbai, India",RT| HC| MumbaiFlooded,"[41.9291069,-85.0153866][]"
2017-08-29 19:09:50,katamulgi,"Alligator out of Powai Lake..
#MumbaiRains #MumbaiFlooded https://t.co/hVujnSKM1a",,,"Mumbai, Maharashtra",Powai| MumbaiFlooded,"[19.1196773,72.9050809][]"
2017-08-29 19:09:46,Grovs07,"RT @AshrutJain: @Olacabs @Uber you guys r nothing bt Schadenfreude.
U will need to search this word like stuck people are searching your ca…",,,mumbai,RT| Olacabs,"[30.7876956, 75.4958958]"
2017-08-29 19:09:45,mmaunishpandya,"RT @republic: Despite rains being annual affair, why is BMC caught flat footed again? Fire in your views using #MumbaiFlooded https://t.co/…",,,"Mumbai, India",RT| BMC| Fire| MumbaiFlooded,"[47.5547719,-122.0424711][38.5755186,-121.4975908][]"
2017-08-29 19:09:45,MalcolmFernan17,#MumbaiFlooded why should the BMC always be blamed. Why not the citizens who throw d garbage on d streets of Mumbai in a care free attitude.,,,"Mumbai, India",BMC| Mumbai,"[47.5547719,-122.0424711][19.0759837,72.8776559]"
2017-08-29 19:09:42,NeeL_Jay,"RT @BSP4Mumbai: #MumbaiRains 
Live situation at Thane station. #MumbaiFlooded #RainHosts  https://t.co/x0oYEWf45V",,,"Navi Mumbai, India",RT| MumbaiRains Live| Thane,"[19.0238031, 73.0423727][19.2183307,72.9780897]"
2017-08-29 19:09:41,mymedicalmantra,"Social media post rescues a #cancer #patient in heavy rains #MumbaiFlooded
https://t.co/xzeY3N4LRp",,,"Mumbai, India",MumbaiFlooded,[]
2017-08-29 19:09:38,Rose_Khan18,@oyorooms I am proud of u team OYO. Hats off to your braveheart step. Humanity lives. #MumbaiRain #mumbairelief #MumbaiFlooded,,,Mumbai,Humanity| MumbaiRain,"[27.8930686,-82.6987899][19.145611,72.936244]"
2017-08-29 19:09:33,TanmayAgale,"need help at Dadar station
#MumbaiRains 
#MumbaiFlooded",,,"Mumbai, India",Dadar,"[19.021324, 72.84241779999999]"
2017-08-29 19:09:27,Inevidyable,RT @republic: Watch: Republic TV's Editor-in chief Arnab Goswami reports live on #MumbaiFlooded #MumbaiRains https://t.co/GI6L96mDbM,,,"Hyderabad, India",RT| Arnab Goswami| MumbaiRains,"[26.1622553, 91.76744860000001][19.166943,72.833383]"
2017-08-29 19:09:25,allwyn_mendonca,RT @RohitMandhane: So many people are stuck in offices in BKC. If possible please provide #Food. #MumbaiFlooded #MumbaiSinks #MumbaiRains #…,,,INDIA,RT| BKC,"[43.0368374,-87.977813]"
2017-08-29 19:09:14,JPadival,"RT @Shoyashaikh: @pragmatist_lady As #MumbaiFlooded if stuck due to #MumbaiRains dial
Mumbai Police: 100
Traffic Helpline Number:+91-845499…",,,"Mangalore, Bangaluru.",RT| MumbaiRains| Mumbai,"[19.166943,72.833383][19.0759837,72.8776559]"
2017-08-29 19:09:00,MoreyGanesh,"Raining continues but not heavy.
#MumbaiRains 
#Mumbaikars 
#MumbaiFlooded",,,"Mumbai, India",,[]
2017-08-29 19:08:43,The_Karishma,RT @RohitMandhane: So many people are stuck in offices in BKC. If possible please provide #Food. #MumbaiFlooded #MumbaiSinks #MumbaiRains #…,,,Bangalore. Manila. Mumbai. ,RT| BKC,"[43.0368374,-87.977813]"
