created-at,username,text,geo-loc,place-bbox,usr-loc,extr-places,extr-latlon
2017-08-24 23:38:45,human24679,"RT @SwarajyaMag: Assam Asks Centre To Get Hydrological Data From China, Says Magnitude Of Flood Does Not Correlate With Rain 

https://t.co…",,,"Manchester, NH",RT| Hydrological Data From China| Says Magnitude Of Flood Does| Rain,"[42.27455, -83.74529][][30.2665338,-97.7456786]"
2017-08-24 23:37:58,saadhyudu2011,"RT @republic: Ram Rahim Singh’s followers flood Sirsa, Panchkula ahead of court verdict #RamRahimVsLaw
https://t.co/a2DQIHchLQ",,,"Guntur, Andhrapradesh.India.",RT| Sirsa| Panchkula| RamRahimVsLaw,"[29.53359309999999, 75.0177029][30.6942091, 76.860565][]"
2017-08-24 23:35:04,NR_Tatvamasi,"RT @SwarajyaMag: Assam Asks Centre To Get Hydrological Data From China, Says Magnitude Of Flood Does Not Correlate With Rain 

https://t.co…",,,,RT| Hydrological Data From China| Says Magnitude Of Flood Does| Rain,"[42.27455, -83.74529][][30.2665338,-97.7456786]"
2017-08-24 23:34:48,wlalmani,"Flood: human and natural resource conflict 
Flood: Political isse
#कुरानबुझिकरआउनेसमाजिकसन्जालकास्यालहरुकालागि 
https://t.co/RSEeEQslGy",,,Kathmandu ,Flood,"[37.2923509,-78.73278]"
2017-08-24 23:31:18,vijayrpatel,"RT @SwarajyaMag: Assam wants to conduct a study on how the state was hit by a third wave of water despite no massive rainfall.

https://t.c…",,,London,#,
2017-08-24 23:25:53,rosay_reyes,"Customer: are you scared that it's going to flood in your area?
Me: no I can swim.
Customer: your name does sound Hispanic.

Bihhh wtf 😑",,,S.A,Customer| Customer| Bihhh,"[33.7513931, -84.3913883][33.7513931, -84.3913883][53.4586583, 9.969589299999999]"
2017-08-24 23:15:31,JakariaBulbul,"Packing relief goods for the flood affected people with SHAAKHEE volunteers, who have been working relentlessly... https://t.co/kN8cvjCyEs",,,"Dhaka, Bangladesh",SHAAKHEE,[]
2017-08-24 23:02:21,RDATT26,RT @vijayrupanibjp: Appreciate L&amp;T for generously contributing Rs 10 cr to CM Relief Fund for rehabilitation services in flood ravaged area…,,,Mumbai,RT| CM Relief Fund,[]
2017-08-24 22:51:04,theassamtribune,Improvement in flood scene - Assam Tribune https://t.co/SJUS6gayA6,,,"Guwahati,Assam,India",Assam Tribune,"[27.4684518,94.9019129]"
2017-08-24 22:41:03,Ashtala,"RT @joy_yeasin: Govt. takes all steps for 
rehabilitation of flood victims : PM Sheikh Hasina  
https://t.co/R4n7Nn94L0 https://t.co/ajX8tb…",,,"Dhaka, Bangladesh",RT,
2017-08-24 22:37:29,TNPBCOCCVgjki14,"RT @narendramodi: A package of Rs. 2000 crore for flood relief, rehabilitation, reconstruction measures for affected states of the Northeas…",,,,RT,
2017-08-24 22:36:51,gshreyasi,I live 10 mins away from the sea. Though Arabian sea is much calmer than Bay of Bengal bt it's disconcerting. Reminds me of Before The Flood,,,Mumbai,Arabian| Bengal,"[25.1870289, 55.2571638][22.9867569,87.8549755]"
2017-08-24 22:36:43,AhimsaPartners,RT @friendship_ngo: Read how prompt rescue operations by Friendship save lives and properties of flood victims in Bangladesh https://t.co/3…,,,France,RT| Bangladesh,"[23.684994,90.356331]"
2017-08-24 22:36:40,ZoomIndianMedia,"RT @SwarajyaMag: Assam Asks Centre To Get Hydrological Data From China, Says Magnitude Of Flood Does Not Correlate With Rain 

https://t.co…",,,Location: not Bilderberg,RT| Hydrological Data From China| Says Magnitude Of Flood Does| Rain,"[42.27455, -83.74529][][30.2665338,-97.7456786]"
2017-08-24 22:36:22,fEfAO8gP6OOWs4W,RT @rsprasad: VLE of @CSCegov_  Suman Kumari of Katihar in #Bihar is helping the flood affected people. Great service to humanity. https://…,,,,#,
2017-08-24 22:27:49,AhimsaFund,RT @friendship_ngo: Recent flood in Bangladesh has affected 3.9 million. Stand up for the flood victims: https://t.co/nW5Bwh2VyW #relief #f…,,,Lyon,RT| Bangladesh| Stand,"[23.684994,90.356331][37.9694251,-122.049378]"
2017-08-24 22:27:48,BPCLVijaySehgal,RT @BPCLMuzaffarpur: @AshutoshJindalS @Sureshnair_BPCL @NatekarRajoo   Flood relief material distribution by Bharatgas dist to 300 people i…,,,"Solapur, India",RT| AshutoshJindalS| Bharatgas,"[22.5566986,88.3551554][31.30342,75.530829]"
2017-08-24 22:27:11,HT107642,RT @airnewsalerts: Centre sanctions Rs 200 crore to #flood hit Assam for immediate repairing of damaged National Highways.,,,,RT| Assam| National Highways,"[26.2006043,92.9375739][32.7504411,-97.3315286]"
2017-08-24 22:26:51,AhimsaFund,RT @friendship_ngo: Read how prompt rescue operations by Friendship save lives and properties of flood victims in Bangladesh https://t.co/3…,,,Lyon,RT| Bangladesh,"[23.684994,90.356331]"
2017-08-24 22:24:34,tanveerfatim16,"RT @TalatHussain12: For a country where defence related statements, press releases and tweets flow like flood, silence on Trump talk is dea…",,,,RT| Trump,"[36.1295381,-115.1725684]"
2017-08-24 22:18:43,CAKaramveer1,"RT @prem_insa: #RamRahimVerdict
Flood relief opration in Australia by Shah Satnaam ji green S welfare force wing
https://t.co/fgRB5bEili",,,"Chandigarh, Patiala, Luanda ",RT| RamRahimVerdict Flood| Australia| Shah Satnaam,"[][-25.274398,133.775136][29.4677496, 75.0685015]"
2017-08-24 22:11:20,Sukhdev11949627,"RT @prem_insa: #RamRahimVerdict
Flood relief opration in Australia by Shah Satnaam ji green S welfare force wing
https://t.co/fgRB5bEili",,,,RT| RamRahimVerdict Flood| Australia| Shah Satnaam,"[][-25.274398,133.775136][29.4677496, 75.0685015]"
2017-08-24 22:05:44,prem_insa,"#RamRahimVerdict
Flood relief opration in Australia by Shah Satnaam ji green S welfare force wing
https://t.co/fgRB5bEili",,,"Noida, India",RamRahimVerdict Flood| Australia| Shah Satnaam,"[][-25.274398,133.775136][29.4677496, 75.0685015]"
2017-08-24 22:03:01,Silchar_Com,Improvement in flood scene https://t.co/ESQnWj7sr0 #silchar #news,,,"Silchar, India",,[]
2017-08-24 22:00:45,prem_insa,"#RamRahimVerdict
Relief opration for flood victims in J &amp; K
https://t.co/KibatByhn4",,,"Noida, India",RamRahimVerdict Relief,[]
2017-08-24 21:46:44,shadabakhter199,@ShayarImran Humanity is the real power of ur key when used to many different time likes Flood reason any injurious… https://t.co/sBi1AtbDQk,,,"New Delhi, India",ShayarImran Humanity| Flood,"[][37.2923509,-78.73278]"
2017-08-24 21:42:05,LiveNews_IN,"Flood situation in UP remains grim, toll mounts to 91 https://t.co/uUDq7BrRIM https://t.co/O0of9sgd22",,,India,Flood| UP,"[37.2923509,-78.73278][26.8467088,80.9461592]"
2017-08-24 21:41:17,aurangzebniazi,"RT @airnewsalerts: #BiharFloods | Flood water engulfs new areas of East #Champaran.

#AIRPics: KK Lal https://t.co/kD6pNuf8Ns",,,Make America Great Again,RT| BiharFloods| East,"[25.5832852,85.0975657][3.9505128,13.914399]"
2017-08-24 21:40:42,SyedIHusain,"RT @lets_be_humane: We've started a Ketto campaign to raise funds for flood-ravaged Hummingbird School in Assam. 
Please RT &amp; donate: 
http…",,,United Kingdom,RT| Assam| Please RT,"[26.2006043,92.9375739][]"
2017-08-24 21:39:29,AnoopPaswan1,God please be with us &amp; keep our houses standing and together. Please keep everyone safe and sound and let this riv… https://t.co/ep25Yk4Os5,,,"New Delhi , India ",God,"[47.6942316,19.140119]"
2017-08-24 21:34:06,Thekitabwala,Assembly adjourned twice amid din over flood relief https://t.co/qOFCakIcHL,,,"Kanpur, India",,[]
2017-08-24 21:20:49,GauravA71459377,My beautiful village during flood https://t.co/Vtm2EDzIsF,,,"Silvassa, India",,[]
2017-08-24 21:20:17,Anjali55096,"RT @preety7sharma: Flood Relief in Bihar by @derasachasauda volunteers under guidance of Saint Dr. MSG
@Gurmeetramrahim 
#MSGgreatSocialRef…",,,,RT| Bihar| Saint,"[25.0960742,85.3131194][29.9745766,-90.1954313]"
2017-08-24 21:19:03,jaf_hk,"RT @TalatHussain12: For a country where defence related statements, press releases and tweets flow like flood, silence on Trump talk is dea…",,,Lahore,RT| Trump,"[36.1295381,-115.1725684]"
2017-08-24 21:15:41,SoganiVikash,"RT @IGSSS: We provided relief support to 144 families in severe #flood affected Chirang district, #Assam 
#AssamFloods https://t.co/gqYHQKr…",,,"Guwahati, India",RT| Chirang| AssamFloods,"[26.6539048,90.6393702][26.1326798,91.8069753]"
2017-08-24 21:14:05,munjarinr,"This post is only for humans-

If anyone wants to help flood victims contact me until Sunday.

Hopefully by... https://t.co/zOX2TUnWUg",,,"Dhaka, Bangladesh",,[]
2017-08-24 21:13:37,Gowri_sankar_j,"RT @palakmuchhal3: From studio ➡️ next studio ➡️ next studio.......

Flood of songs 🔜 https://t.co/GuMWC3KUjl",,,"Alappuzha,Kerala, India",RT| Flood,"[37.2923509,-78.73278]"
2017-08-24 21:00:38,varadark7,"RT @SwarajyaMag: Assam Asks Centre To Get Hydrological Data From China, Says Magnitude Of Flood Does Not Correlate With Rain 

https://t.co…",,,"Bengaluru, India",RT| Hydrological Data From China| Says Magnitude Of Flood Does| Rain,"[42.27455, -83.74529][][30.2665338,-97.7456786]"
2017-08-24 20:58:16,AmitBhartia,"RT @SwarajyaMag: Assam government wants to probe why the state was hit by a third wave water despite no massive rainfall.

https://t.co/5yK…",,,"Downtown, Washington",#,
2017-08-24 20:54:45,NewsAssam,"Flood situation in Bihar,UP, WB &amp; Assam remains grim - Doordarshan https://t.co/vrlSaFmZrh #Assam",,,"Guwahati, Assam",Flood| Bihar| UP| Assam| Doordarshan,"[37.2923509,-78.73278][25.0960742,85.3131194][26.8467088,80.9461592][26.2006043,92.9375739][28.6238434, 77.2327134]"
2017-08-24 20:53:33,vinaysagark,RT @SushilModi: Lalu instead of visiting flood marooned area is mobilising people spending Cr  for his rally to protect benami property.,,,sunnyvale ca,RT,
