created-at,username,text,geo-loc,place-bbox,usr-loc,extr-places,extr-latlon
2017-08-09 23:06:52,cogenfullty1985,RT @bhargabmahanta: #assam flood# pray,,,,RT,
2017-08-09 22:50:14,aimasters,"RT @IGSSS: Water Filters distributed to the flood affected families in Lakhimpur district, #Assam with the support of @christian_aid and @S…",,,West Sussex,RT| Lakhimpur,"[27.9490794,80.7824012]"
2017-08-09 22:38:59,shreenathsingh1,RT @radhacharandas: Of course all MLAs will now help flood victims some with Gandhigiri and some with Modigiri  (fake posts and jumlas) htt…,,,"Naperville, IL",RT| MLAs| Gandhigiri| Modigiri,"[11.2343498,77.7786879][][]"
2017-08-09 22:14:47,seoservicec,Country road to Canada is route to hope for many migrants - CBS News https://t.co/5AXi65LwcA #world,,,India,Country| Canada| CBS News,"[28.4141538,77.0659348][56.130366,-106.346771][40.769262,-73.989637]"
2017-08-09 22:13:04,selberan,RT @timesofindia: Odisha government pegs flood damage at Rs 218 crore https://t.co/OauiYZ4xrI via @TOICitiesNews https://t.co/Qrb7vv21J1,,,"INDIA,KERALA,KOLLAM.",RT| TOICitiesNews,"[37.184829,-76.573053]"
2017-08-09 22:05:23,Gitupatel6,RT @bpmishra109: @AsaramBapuJi Gujarat Flood - The Administration was also surprised by seeing such a huge help in such a short time ! #Flo…,,,,#,
2017-08-09 22:01:32,Silchar_Com,Flood relief items distributed in Morigaon https://t.co/3sQkLJXqFe #silchar #news,,,"Silchar, India",Flood| Morigaon,"[37.2923509,-78.73278][26.2599654,92.2630393]"
2017-08-09 22:01:22,Silchar_Com,CM visits flood-hit Lakhimpur district; releases Rs 100 cr for embankment repair https://t.co/ASFwusugur #silchar #news,,,"Silchar, India",CM,"[7.369722,12.354722]"
2017-08-09 21:48:57,kartiksamadhiya,"RT @ril_foundation: #RF Chairperson Smt. Nita Ambani spent time with flood-affected families in #Gujarat, learning about their needs &amp; assu…",,,sehore,RT| Nita Ambani,"[19.1694988,72.9584612]"
2017-08-09 21:40:07,farooqueeali,"RT @BadruddinAjmal: Flood Relief(food packet) distribution by Ajmal Foundation among 200 flood victims at Newghat, Bhangarpar, Dhubri. http…",,,,#,
