created-at,username,text,geo-loc,place-bbox,usr-loc,extr-places,extr-latlon
2017-08-07 23:36:31,izubairahmd,Wedding under flood water in Gohpur Assam | Assam flood https://t.co/GFhgWXwLlg,,,"Guwahati,India",Gohpur Assam,"[26.8789602, 93.6057847]"
2017-08-07 23:36:29,gk571977,RT @ishafoundation: Trees reduce floods in England. #RallyForRivers proposes 1km tree cover along rivers. Benefits: less flood &amp; drought ht…,,,,RT| England| RallyForRivers,"[52.3555177, -1.1743197][38.7955358, -90.62429449999999]"
2017-08-07 23:33:41,gk571977,"RT @ishafoundation: .@IndiaToday on how loss of tree cover in the Himalayas is leading to soil erosion, flood &amp; drought. #RallyForRivers ht…",,,,RT| Himalayas,"[28.5983159,83.9310623]"
2017-08-07 23:30:42,HassanSoyel,@MamataOfficial 81 village r suffering bad condition in flood.no food no water no hlp frm govt. Local tmc leaders r in silnt mood not wrkng,,,India,Local,"[47.6222573,-122.3368892]"
2017-08-07 23:22:38,HassanSoyel,@MamataOfficial we r frm ghatal we r suffering by flood here no govt.relif or no tran.Why? West bengal govt. Suffering poority? We r hopelss,,,India,West,"[5.4638158,10.8000051]"
2017-08-07 23:08:11,LovjeetSheokand,RT @ahmedpatel: Visited various flood relief camps in North Gujarat today https://t.co/hlzlFO23B9,,,"Hisar, India",RT| North Gujarat,"[22.258652,71.1923805]"
2017-08-07 22:14:26,philambananewal,"Let the lights flood our room of darkness...
.
.
.
#rediscoveringmyself #loveforphotography… https://t.co/xSH2MYh73t","{u'type': u'Point', u'coordinates': [19.12631329, 72.92587363]}","[[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]]","Kalyan Dombivali, India",,[]
2017-08-07 21:49:04,hiiiiiloveyou,"RT @RSS_Org: RSS swayamsevak from Mehsana, Gujarat Shri Alkesh Chaudhary donated medicines of Rs. 96 thousand from his shop for flood affec…",,,India,RT| Mehsana| Gujarat Shri Alkesh,"[23.5879607,72.3693252][21.193564,72.798789]"
2017-08-07 21:46:28,being_tiger_,"RT @RSS_Org: RSS swayamsevak from Mehsana, Gujarat Shri Alkesh Chaudhary donated medicines of Rs. 96 thousand from his shop for flood affec…",,,"New Delhi, India.",RT| Mehsana| Gujarat Shri Alkesh,"[23.5879607,72.3693252][21.193564,72.798789]"
2017-08-07 20:59:29,ahmadriaz994,"RT @DDNewsLive: #Flood UPDATE: 83 died, over 25 lakh people affected in this year's #AssamFloods; Dhemaji, Lakhimpur &amp; Jorhat still remain…",,,,RT| Flood| AssamFloods| Dhemaji| Lakhimpur,"[37.2923509,-78.73278][26.1326798,91.8069753][27.608731,94.7691586][27.9490794,80.7824012]"
2017-08-07 20:58:05,rajreddynyc,RT @ANI_news: Ppl are dying in flood&amp;MLAs are enjoying in resort. Their (Cong) MLAs not under their control. They don't trust them: V Rupan…,,,"Queens, NY",RT,
2017-08-07 20:38:45,prasadswami222,@OfficeOfRG @rssurjewala Flood to Assam me bhi hai to visit sirf Gujrat me kyu ??? Election agenda right? ?,,,"Jalgaon, India",OfficeOfRG| Flood| Election,"[][37.2923509,-78.73278][41.8829298, -87.6300308]"
2017-08-07 20:32:41,XJVYjNx3eW19Jq6,"RT @narendramodi: A package of Rs. 2000 crore for flood relief, rehabilitation, reconstruction measures for affected states of the Northeas…",,,,RT,
2017-08-07 20:30:28,hiteshmeena90,RT @sampadscales: Gujarat @INCIndia MLAs r still enjoying in B'luru while the state face a flood fury; 250 people already lost their lives…,,,,RT,
2017-08-07 20:28:02,srishubhambjp,RT @ChouhanShivraj: Compliment PM @narendramodi for highlighting the extensive work by the Centre to provide flood relief across India. htt…,,,"Varanasi, India",#,
2017-08-07 20:27:55,wezdatruth,"RT @RSS_Org: RSS swayamsevak from Mehsana, Gujarat Shri Alkesh Chaudhary donated medicines of Rs. 96 thousand from his shop for flood affec…",,,"Bengaluru, Karnataka",RT| Mehsana| Gujarat Shri Alkesh,"[23.5879607,72.3693252][21.193564,72.798789]"
2017-08-07 20:27:34,srishubhambjp,"RT @narendramodi: Talked at length about the monsoons, the flood situation in various parts &amp; rescue as well as relief measures. https://t.…",,,"Varanasi, India",#,
2017-08-07 20:26:37,srishubhambjp,"RT @PMOIndia: During his visit, PM will meet CMs &amp; top officials of Arunachal Pradesh, Assam, Manipur, Mizoram and Nagaland to review the f…",,,"Varanasi, India",RT| PM| CMs| Arunachal Pradesh| Assam| Manipur| Mizoram| Nagaland,"[46.8852,-56.3159][28.0663381,-82.42522][28.2179994,94.7277528][26.2006043,92.9375739][24.6637173,93.9062688][23.164543,92.9375739][26.1584354,94.5624426]"
2017-08-07 20:26:27,srishubhambjp,"RT @PMOIndia: The Prime Minister reached Assam, where he will review the flood situation, interact with CMs &amp; officials of various states o…",,,"Varanasi, India",RT| Assam| CMs,"[26.2006043,92.9375739][28.0663381,-82.42522]"
2017-08-07 20:26:25,srishubhambjp,"RT @PMOIndia: PM @narendramodi, Assam CM @sarbanandsonwal, Ministers from the Centre &amp; Assam, officials review the flood situation in the s…",,,"Varanasi, India",RT| Assam CM| Centre| Assam,"[26.1823,91.7411][32.8374242,-96.7772491][26.2006043,92.9375739]"
2017-08-07 20:26:17,srishubhambjp,"RT @PMOIndia: PM @narendramodi, Arunachal Pradesh CM @PemaKhanduBJP, Union Minister @DrJitendraSingh &amp; officials review the flood situation…",,,"Varanasi, India",RT| Arunachal Pradesh,"[28.2179994,94.7277528]"
2017-08-07 20:26:15,srishubhambjp,RT @PMOIndia: A review of the flood situation in Nagaland is taking place. PM @narendramodi meeting Nagaland CM and top officials. https://…,,,"Varanasi, India",#,
2017-08-07 20:26:10,srishubhambjp,"RT @PMOIndia: Mitigating flood situation in Manipur...a high level meeting attended by PM @narendramodi, CM @NBirenSingh, @DrJitendraSingh…",,,"Varanasi, India",RT| Manipur| PM| CM,"[24.6637173,93.9062688][46.8852,-56.3159][7.369722,12.354722]"
2017-08-07 20:25:53,srishubhambjp,RT @sarbanandsonwal: Hon'ble PM @narendramodi ji's visit to Assam reiterates his commitment towards a long term solution to State's flood p…,,,"Varanasi, India",RT| Assam| State,"[26.2006043,92.9375739][41.9216582,-87.6524064]"
