place,lat,lon
Kishanganj,25.6843,86.9474
Araria,26.1108,87.3016
Katihar,25.5520,87.5719
Darbhanga,26.1119,85.8960
Madhubani,26.4628,86.1752
Sitamarhi,26.5952,85.4808
Madhepura,25.8674,86.9424
Sheohar,26.5146,85.2942
West Champaran,27.1543,84.3542
East Champaran,26.6098,84.8568
Purnia,25.7771,87.4753
