created-at,username,text,geo-loc,place-bbox,usr-loc,extr-places,extr-latlon
2017-08-25 23:58:32,mustainbinarif,Happy pig getting rescued from a flood inspires hilarious Photoshop battle https://t.co/TLwPvkMQRy,,,Dhaka,Happy,"[56.9132971,24.0990636]"
2017-08-25 23:57:10,manishr0ckz,Happy pig getting rescued from a flood inspires hilarious Photoshop battle https://t.co/9M77U3SHgX,,,"Maharashtra, India",Happy,"[56.9132971,24.0990636]"
2017-08-25 23:56:08,mithu796311,RT @airnewsalerts: Prime Minister @NarendraModi will be on a day-long visit to Bihar today to take stock of the #flood situation in the sta…,,,मरणोपरांत  ॐ,RT| Bihar,"[25.0960742,85.3131194]"
2017-08-25 23:50:06,TOIBusiness,Hurricane Harvey may add to debt woes of U.S. flood insurance program https://t.co/nvHO1pOfrS,,,"New Delhi, India",Hurricane Harvey| U.S.,"[39.225013,-90.9220472][37.09024,-95.712891]"
2017-08-25 23:49:27,itzsamya,"RT @SUNDARmyth: #Secular India
All India Kisan Sabha has issued the following statement on Grave flood situation in North&amp;East India https:…",,,Australia,RT| North| East India,"[8.5809013,13.914399][22.8961999, 85.98001099999999]"
2017-08-25 23:47:38,telangana_watch,RT @TOIIndiaNews: Bihar flood toll reaches 418; 1.67 crore affected in 19 districts https://t.co/bqNqaVEm2C,,,,RT| Bihar,"[25.0960742,85.3131194]"
2017-08-25 23:45:30,Iamshiyad,RT @TOIIndiaNews: Bihar flood toll reaches 418; 1.67 crore affected in 19 districts https://t.co/bqNqaVEm2C,,,India,RT| Bihar,"[25.0960742,85.3131194]"
2017-08-25 23:44:27,Neel_Dabholkar,@BDUTT Its the same when no one thought it is important to cover the northeastern states during flood. #notrp #whypeoplewillwatchthen,,,Pune,,[]
2017-08-25 23:39:41,Dewbispeaks,RT @airnewsalerts: Prime Minister @NarendraModi will be on a day-long visit to Bihar today to take stock of the #flood situation in the sta…,,,,RT| Bihar,"[25.0960742,85.3131194]"
2017-08-25 23:37:45,gkndygl,"RT @WBPolice: Rescuing flood affected people &amp; arranging food, shelter for them by Dakshin Dinajpur District Police https://t.co/lMWaeJZkGg",,,"İstanbul, Türkiye",RT| Dakshin Dinajpur District,"[25.3715308,88.556531]"
2017-08-25 23:33:05,_FiraaQ_,"RT @lets_be_humane: We've started a Ketto campaign to raise funds for flood-ravaged Hummingbird School in Assam. 
Please RT &amp; donate: 
http…",,,India,RT| Assam| Please RT,"[26.2006043,92.9375739][]"
2017-08-25 23:28:54,Yudhveerrajput,"RT @mrig_INC: This is the situation of flood in Dumari Khurd village, block-Majorganj, District Sitamarhi &amp; the situation is worsening @Nit…",,,,RT| Dumari Khurd| District Sitamarhi,"[26.644687,83.5802838][26.6321781,85.520024]"
2017-08-25 23:27:18,KassandraTroy,"RT @rcajmer: @Nigel_Farage @KassandraTroy Now u need EU FBI
Next u will ask for EU CIA NSA
After that EU Army
EU Air Force, Navy
But still…",,,Planet Trump,RT| EU| EU| EU Army,"[50.04887, 1.419597][50.04887, 1.419597][51.560094, 0.389425]"
2017-08-25 23:23:37,Kavitpatel04,RT @airnewsalerts: Prime Minister @NarendraModi will be on a day-long visit to Bihar today to take stock of the #flood situation in the sta…,,,"Kamrej, India",RT| Bihar,"[25.0960742,85.3131194]"
2017-08-25 23:16:31,Shah2014Haresh,RT @airnewsalerts: Prime Minister @NarendraModi will be on a day-long visit to Bihar today to take stock of the #flood situation in the sta…,,,"Texas, USA",RT| Bihar,"[25.0960742,85.3131194]"
2017-08-25 23:14:37,sahanad94,"RT @divyaspandana: Can't find a single image of PrimeMinister Modi with flood affected victims in Assam, Gujarat or Bihar. Too scared to ge…",,,"Bengaluru South, India",RT| PrimeMinister Modi| Assam| Gujarat| Bihar,"[26.875852,75.756388][26.2006043,92.9375739][22.258652,71.1923805][25.0960742,85.3131194]"
2017-08-25 23:14:29,sahanad94,"RT @divyaspandana: Ok guys, I'll give you 25,000 rupees if you find me a picture of Modi with flood affected victims in Assam, Gujarat or B…",,,"Bengaluru South, India",RT| Modi| Assam| Gujarat,"[24.5855899,73.977126][26.2006043,92.9375739][22.258652,71.1923805]"
2017-08-25 23:13:37,HirenMParekh,RT @airnewsalerts: Prime Minister @NarendraModi will be on a day-long visit to Bihar today to take stock of the #flood situation in the sta…,,,"Vadodara, Gujarat, India",RT| Bihar,"[25.0960742,85.3131194]"
2017-08-25 23:13:17,pankajmistryin,RT @TOIIndiaNews: Bihar flood toll reaches 418; 1.67 crore affected in 19 districts https://t.co/bqNqaVEm2C,,,,RT| Bihar,"[25.0960742,85.3131194]"
2017-08-25 23:09:56,airnewsalerts,Prime Minister @NarendraModi will be on a day-long visit to Bihar today to take stock of the #flood situation in the state.,,,"New Delhi, India",Bihar,"[25.0960742,85.3131194]"
2017-08-25 23:03:30,milved,RT @TOIIndiaNews: Bihar flood toll reaches 418; 1.67 crore affected in 19 districts https://t.co/bqNqaVEm2C,,,PATNA- KOCHI-DELHI,RT| Bihar,"[25.0960742,85.3131194]"
2017-08-25 22:50:43,Protansingha2,"RT @WBPolice: Arranging shelter, food for the flood affected people at Balurghat by #DakshinDinajpurPolice https://t.co/rHIChWyTog",,,Sealdah,RT| Balurghat,"[25.2372834,88.7830612]"
2017-08-25 22:49:38,Protansingha2,"RT @WBPolice: Rescuing flood affected people &amp; arranging food, shelter for them by Dakshin Dinajpur District Police https://t.co/lMWaeJZkGg",,,Sealdah,RT| Dakshin Dinajpur District,"[25.3715308,88.556531]"
2017-08-25 22:37:08,Deepakkumar842,https://t.co/uT6pjCw5Q5 🎀  This photo of a girl from flood-hit Assam has gone viral again... https://t.co/ecNCQlMuLC,,,patna,Assam,"[26.2006043,92.9375739]"
2017-08-25 22:25:56,i_sanjayyadav,"Hello सरकार कहा छौ ?
Situation of flood victim in Rautahat .
Flood have critically affected the livelihood of... https://t.co/xWg9WpDKc3",,,"New Delhi, Delhi",Hello| Situation| Rautahat| Flood,"[63.8354932,-20.3918915][40.7445992,-73.9865382][27.0486903,85.3136218][37.2923509,-78.73278]"
2017-08-25 22:21:02,sumon_1985,RT @albd1971: HPM #SheikhHasina will visit Gaibandha and Bogra tomorrow to see flood-affected people and relief operations https://t.co/l7Q…,,,"Chittagong, Bangladesh",RT| SheikhHasina| Gaibandha| Bogra,"[24.5618391, 88.244784][25.3296928,89.5429652][24.8435589,89.3701078]"
2017-08-25 22:18:02,sachaturvedi,"RT @muglikar_: Be it flood relief, getting babies out of borewells or riot control, our disciplined army always comes to the rescue. Thank…",,,Bharat Mata Ki Jai,#,
2017-08-25 22:10:32,cheltencam,RT @SalmanNaseer: Rescuing pig in a flood 😂😂 https://t.co/dbXHKC9XGd,,,"Cheltenham, England",RT,
2017-08-25 22:06:38,sujitchandran,"RT @muglikar_: Be it flood relief, getting babies out of borewells or riot control, our disciplined army always comes to the rescue. Thank…",,,,#,
2017-08-25 22:06:20,mrhrajib,#tweet #Instagram #Bangladesh #flood @ bad day.  No work no income. Want start new. No post on #Facebook.,,,Bangladesh,Want,"[43.7300061, -79.4189633]"
2017-08-25 22:01:36,Silchar_Com,Flood damages PHC machinery https://t.co/mVuLHrtjm0 #silchar #news,,,"Silchar, India",Flood| PHC,"[37.2923509,-78.73278][32.7626589, -79.9838019]"
2017-08-25 22:01:23,Silchar_Com,Major roads of Dhubri district damaged by flood https://t.co/3UTPWzFaOT #silchar #news,,,"Silchar, India",Dhubri,"[26.0206982,89.9743463]"
2017-08-25 22:01:18,sarwara39230932,"RT @yasinarafath: During distributing relief, Shibir President said that there has been a huge loss due to the flood. There is... https://t…",,,,#,
2017-08-25 21:48:23,Mr_Hind404,"RT @funnyvideo1690: Live capture: Building falling in #biharflood water - people #dead August 2017
#flood #india

https://t.co/rRcQw4w8rM v…",,,India,RT,
2017-08-25 21:47:29,funnyvideo1690,"Live capture: Building falling in #biharflood water - people #dead August 2017
#flood #india

https://t.co/rRcQw4w8rM via @YouTube",,,"Pune, India",,[]
2017-08-25 21:44:38,LiveNews_IN,"Bihar flood toll reaches 418, 1.67 crore affected https://t.co/Saumzsmo3G https://t.co/a9Y9J06Zbg",,,India,Bihar,"[25.0960742,85.3131194]"
2017-08-25 21:29:42,funnyvideo1690,Live capture: Building falling in flood water - people dead: https://t.co/DJjB17Eghy via @YouTube,,,"Pune, India",,[]
2017-08-25 21:16:12,miluaman,"I liked a @YouTube video https://t.co/ALq8BOMTB1 peter gabriel ,robert fripp the flood remix mikael vasara",,,Bangladesh,YouTube,"[33.976817,-118.407293]"
2017-08-25 21:13:37,ShravanSaxena,"BETTER TOUCHING FEET OF HON CHIEF MINISTER SHRI NITISH KUMAR SIR OF BIHAR OF INDIA,HON MA'M ON SUCH FESTIVAL TIME!!! as about flood then",,"[[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]]",,BETTER| SHRI| NITISH| HON MA,"[40.574312, -74.10647][41.8801255, -71.37997349999999][37.7642921, -122.4574255][43.0624356, 141.3513158]"
2017-08-25 21:07:53,beingriazshq,RT @TOIIndiaNews: Bihar flood toll reaches 418; 1.67 crore affected in 19 districts https://t.co/bqNqaVEm2C,,,,RT| Bihar,"[25.0960742,85.3131194]"
2017-08-25 20:50:09,SalmanNaseer,Rescuing pig in a flood 😂😂 https://t.co/dbXHKC9XGd,,,Islamabad,,[]
2017-08-25 20:48:43,AjayGulzar,RT @TOIIndiaNews: Bihar flood toll reaches 418; 1.67 crore affected in 19 districts https://t.co/bqNqaVEm2C,,,,RT| Bihar,"[25.0960742,85.3131194]"
2017-08-25 20:44:40,therealtrilla,Get your bud before the flood. Hml 🤸🏽‍♀️,,,HTine,Hml,"[25.8950887, -80.3066324]"
2017-08-25 20:42:13,uttaras,RT @TOIIndiaNews: Bihar flood toll reaches 418; 1.67 crore affected in 19 districts https://t.co/bqNqaVEm2C,,,London/Cambridge/India,RT| Bihar,"[25.0960742,85.3131194]"
2017-08-25 20:42:08,sumaiya_zafrin,Post flood condition: https://t.co/oDzbYuCIPQ via @YouTube,,,"Dhaka, Bangladesh",Post,"[33.9972943,-118.1685319]"
2017-08-25 20:36:50,Indilens,#Breaking_News (Assam flood situation improves; Brahmaputra flowing below red mark) - https://t.co/4lW8Lhqfnf via… https://t.co/GS3E5hNlEY,,,India,Assam,"[26.2006043,92.9375739]"
2017-08-25 20:29:28,EmaduddinKgg,RT @TOIIndiaNews: Bihar flood toll reaches 418; 1.67 crore affected in 19 districts https://t.co/bqNqaVEm2C,,,New Delhi,RT| Bihar,"[25.0960742,85.3131194]"
2017-08-25 20:27:30,vikasethi,"RT @news24tvchannel: Nitish in trouble, flood situation worsens..418 deaths,1.67cr affected #BiharFloods https://t.co/XMqP8Eh5L0 https://t.…",,,glocal citizen sometym Alien!!,RT| BiharFloods,"[25.5832852,85.0975657]"
2017-08-25 20:24:31,NewsAssam,How we define Assam's flood problem - The Indian Express https://t.co/7AfnG1pmhS #Assam,,,"Guwahati, Assam",Assam| Indian Express,"[26.2006043,92.9375739][28.5875094,77.3317488]"
2017-08-25 20:19:32,AnnKelly007,"@Acosta @CNN will be reporting that the President, on Putins orders, used the HAARP weather control machines to purposely flood black people",,,Hamburger Hill ,Acosta| Putins| HAARP,"[30.25628, -81.5990156][46.497705, 5.303851][62.3923722, -145.15053]"
2017-08-25 20:16:34,Ashtala,RT @albd1971: HPM #SheikhHasina will visit Gaibandha and Bogra tomorrow to see flood-affected people and relief operations https://t.co/l7Q…,,,"Dhaka, Bangladesh",RT| SheikhHasina| Gaibandha| Bogra,"[24.5618391, 88.244784][25.3296928,89.5429652][24.8435589,89.3701078]"
2017-08-25 20:14:18,Circle_India,"Dear @WhiteHouse ,Need ur help in the flood in Bihar, India. @POTUS @FLOTUS @VP",,,"New Delhi, India",Dear| Need| Bihar| India| POTUS,"[46.7993412,-116.5559894][32.8094102,-97.2738054][25.0960742,85.3131194][20.593684,78.96288][45.111086, 3.990662]"
2017-08-25 20:09:20,Brs74821447,RT @easterncomd: Troops of Gajraj Corps cont'd to provide flood relief to affected popn in Nagaon &amp; other dists of Lower Assam in coord wit…,,,🌄 India,RT| Gajraj Corps| Nagaon| Lower Assam,"[19.133882,74.7316915][26.3463713,92.6840426][26.2006043,92.9375739]"
2017-08-25 20:06:49,Bjp_Sekhar_Bdn,"RT @news24tvchannel: Nitish in trouble, flood situation worsens..418 deaths,1.67cr affected #BiharFloods https://t.co/XMqP8Eh5L0 https://t.…",,,"Bardhaman, India",RT| BiharFloods,"[25.5832852,85.0975657]"
2017-08-25 20:05:43,Nupur_58,"@Pouls15 Yup 1 exam took place then got postponed for flood
Bt if not I would have still took time for him! Just ho… https://t.co/qIW0IYUp7t",,,"Dhaka, Bangladesh",Pouls15,[]
2017-08-25 20:05:39,news24tvchannel,"Nitish in trouble, flood situation worsens..418 deaths,1.67cr affected #BiharFloods https://t.co/XMqP8Eh5L0 https://t.co/0eQKVQO5vf",,,Noida,Nitish| BiharFloods,"[37.7642921,-122.4574255][25.5832852,85.0975657]"
2017-08-25 20:04:34,DUALIPA_UK,RT @TOIIndiaNews: Bihar flood toll reaches 418; 1.67 crore affected in 19 districts https://t.co/bqNqaVEm2C,,,,RT| Bihar,"[25.0960742,85.3131194]"
2017-08-25 20:03:06,dhakainformer,"PM to visit flood-hit Gaibandha, Bogra today https://t.co/Z7yaEzzrpK",,,Dhaka,,[]
2017-08-25 19:58:13,RDATT26,Bihar flood toll reaches 418; 1.67 crore affected in 19 districts https://t.co/dzYzS2rLty via @timesofindia,,,Mumbai,Bihar,"[25.0960742,85.3131194]"
2017-08-25 19:52:50,AshtaRai,"RT @bishworaj_g: #PhotoOfTheDay A man carries his cattles on his shoulder in the flood at saptari. 
From-facebook https://t.co/Auln2BkcYS",,,Cyprus,RT,
