created-at,username,text,geo-loc,place-bbox,usr-loc,extr-places,extr-latlon
2017-08-23 23:59:37,SICKcoolar786,RT @SushilModi: Lalu shud cancel his rally &amp; instead do some relief work for flood affected people.,,,神奈 横浜市 港北区,RT,
2017-08-23 23:58:13,VikramS93751194,"RT @ashokgehlot51: Flood situation in 3 states is terrible.My heart goes out to victims
I pray no more lives r lost n relief reaches everyo…",,,Mahender Garh Haryana ,RT,
2017-08-23 23:53:34,CrimeCap,PM Modi is coming to Bihar to get 'air bump' after flood water fall: Lalu Yadav https://t.co/nFzFLTLiPt,,,"Gujarat, India",PM Modi| Bihar,"[17.4289427,78.4874925][25.0960742,85.3131194]"
2017-08-23 23:49:10,RashMish30,RT @himantabiswa: We're intrigued at 3rd wave of floods wreaking havoc in Northeast despite normal rains &amp; mismatch between rainfall data &amp;…,,,Bangalore,RT| Northeast,"[42.0492205,-97.3957793]"
2017-08-23 23:46:14,niteshupadhyay8,RT @SushilModi: Lalu shud cancel his rally &amp; instead do some relief work for flood affected people.,,,,RT,
2017-08-23 23:45:23,rakeshranjan_11,"RT @DaaruBaazMehta: AAP sends relief material to Bihar Flood victims.

Contribute to the noble cause and help our fellow Indians in such di…",,,,RT| Bihar Flood| Contribute,"[25.5832852,85.0975657][41.648113,-70.542579]"
2017-08-23 23:42:37,MaheshAga213,@SrDCMMadurai Charcoal rake fnr 17081207435 stabled at PAP since last 8 days. When shall it move for destination? F… https://t.co/fxxno1htpN,,,"Kolkata, India",#,
2017-08-23 23:40:35,diptarasel,Flash Flood in Bangladesh 2017 https://t.co/S1DqVGgfAe,,,"Dhaka, Bangladesh",Flash Flood,"[42.3183719,-85.1865842]"
2017-08-23 23:38:51,gouravnshah,RT @himantabiswa: We're intrigued at 3rd wave of floods wreaking havoc in Northeast despite normal rains &amp; mismatch between rainfall data &amp;…,,,,RT| Northeast,"[42.0492205,-97.3957793]"
2017-08-23 23:38:30,gobindapaulgp,Fade life portrait series #Flood #DailyLife #Instagram #love #smile #streetphotography… https://t.co/5tINVEq1ty,,,Dhaka bangladesh,Fade,"[39.608424, -105.036586]"
