created-at,username,text,geo-loc,place-bbox,usr-loc,extr-places,extr-latlon
2017-07-24 23:52:14,DevLadpura,"RT @DevLadpura: Heavy rain causes flood-like situation in Rajasthan, schools closed in 2 districts | india-news | Hindustan Times https://t…",,,India,RT| Rajasthan| Hindustan Times,"[27.0238036,74.2179326][30.906587,75.840648]"
2017-07-24 23:50:07,Harlow43468759,RT @_ighv: 1000s of years back Hindu sages have predicted that in 2014 Bhagawati Durga would arrive on a boat which signifies flood! #Panch…,,,,#,
2017-07-24 23:43:49,nativejeweler1,RT @Edwardbani: Please Pray for our country. Flood is going on for a long time. https://t.co/M3ItGAbhwi,,,Southeast,RT| Flood,"[37.2923509,-78.73278]"
2017-07-24 23:40:40,shahritesh07,RT @vijayrupanibjp: Govt is doing its best to rescue those hit by flood. 12 teams of NDRF &amp; one Column of Army have been deployed in Banask…,,,,RT| NDRF| Army,"[16.3792902,80.5313928][40.7924171,-74.1966221]"
2017-07-24 23:34:24,NewsAssam,Flood Situation in Assam Improves - NorthEast Today https://t.co/VPRkpAzibc #Assam,,,"Guwahati, Assam",Flood Situation| Assam Improves| NorthEast,"[][][42.0492205,-97.3957793]"
2017-07-24 23:32:53,rahuljjp,RT @sardesairajdeep: Thoughts and prayers tonight will friends and citizens in flood hit Gujarat. God bless you all! Hope help reaches all…,,,india,RT| God| Hope,"[47.6942316,19.140119][42.7871797,-86.1023574]"
2017-07-24 23:27:21,mit_chokshi,RT @vijayrupanibjp: Govt is doing its best to rescue those hit by flood. 12 teams of NDRF &amp; one Column of Army have been deployed in Banask…,,,"Ahmadabad City, India",RT| NDRF| Army,"[16.3792902,80.5313928][40.7924171,-74.1966221]"
2017-07-24 23:21:19,besttopicin,Raw: Chopper Lifts Flood Stranded Hikers To Safety https://t.co/jLyX26MM1q,,,hyderabad,Chopper Lifts Flood| Hikers To Safety,[][]
2017-07-24 23:17:01,XTOLZ,RT @Edwardbani: Please Pray for our country. Flood is going on for a long time. https://t.co/M3ItGAbhwi,,,Worldwide,RT| Flood,"[37.2923509,-78.73278]"
2017-07-24 23:14:19,FazleAzim2,Raw: Chopper Lifts Flood Stranded Hikers To Safety https://t.co/okJjb6rHCc,,,"Dhaka, Bangladesh",Chopper Lifts Flood| Hikers To Safety,[][]
2017-07-24 23:05:46,freak9411,RT @sardesairajdeep: Thoughts and prayers tonight will friends and citizens in flood hit Gujarat. God bless you all! Hope help reaches all…,,,"सेक्टर 17, गुड़गांव",RT| God| Hope,"[47.6942316,19.140119][42.7871797,-86.1023574]"
2017-07-24 23:03:19,unadkat_vrajesh,"RT @pradipsinhbjp: CM @vijayrupanibjp ji is taking every step to help the people, From last 24 hours he is working tirelessly to review the…",,,,RT,
2017-07-24 22:57:20,msnindia,Heavy rains flood several states https://t.co/Uhd62LQXoY https://t.co/EcBohGxVrf,,,India,Heavy,"[13.6950966,100.6477906]"
2017-07-24 22:53:38,itzsamya,"RT @SUNDARmyth: #Secular India*#Brand West Bengal*
""No flood situation in Bengal as yet."" - Mamata B
She leaves for Delhi.Flood water enter…",,,Australia,RT| Brand West| Bengal| Mamata,"[37.9781,-122.546186][22.9867569,87.8549755][27.4349302,-82.5237545]"
2017-07-24 22:46:10,Fumanlebra1,RT @NEPABUZZ1: Flood Advisory for Clinton/Lycoming Counties because of this storm https://t.co/QN82O9a099 #NEPA #NEPABuzz,,,wilkes barre pa nepa area,RT| NEPABuzz,[]
2017-07-24 22:41:23,hashahmedabad,Flood waters channeled into Sabarmati - Times of India https://t.co/WX3RDDkKIw #Ahmedabad #News,,,"Ahmedabad , Gujarat ",Flood| Sabarmati| India,"[37.2923509,-78.73278][23.0883827, 72.58648389999999][20.593684,78.96288]"
2017-07-24 22:33:19,shahritesh07,RT @gopimaniar: CM @vijayrupanibjp reach Palanpur to review flood situation of Banaskantha https://t.co/Ldke5xCqTH,,,,RT| Palanpur| Banaskantha,"[24.174051, 72.43309889999999][24.3454739,71.7622481]"
2017-07-24 22:17:01,mdhaba1,"RT @CNNnews18: A flood alert has been issued by state government.
https://t.co/cDWaus4OVz",,,Kingdom of Saudi Arabia,RT,
2017-07-24 22:08:34,Pankaj16182,RT @vijayrupanibjp: Visited State Control Room at Gandhinagar &amp; reviewed the flood situation. Satisfied with the overall preparedness of th…,,,Rajkot,RT| Gandhinagar,"[23.2156354,72.6369415]"
2017-07-24 22:08:08,Pankaj16182,"RT @vijayrupanibjp: At Deesa, to personally review the flood control measures in Banaskantha district. https://t.co/gZwEZHYv4H",,,Rajkot,RT| Deesa| Banaskantha,"[24.2585031,72.1906721][24.3454739,71.7622481]"
2017-07-24 22:06:31,mdhaba1,RT @CMOGuj: Guj CM announces the postponement of Narmada Mahotsav &amp; Ahmedabad Heritage Mahotsav owing to heavy rains &amp; flood-like situation…,,,Kingdom of Saudi Arabia,RT| Narmada Mahotsav| Ahmedabad Heritage Mahotsav,"[21.7157705, 73.0199087][]"
2017-07-24 22:03:47,guwahaticity,Flood damage: Central team arriving today https://t.co/g9adGLq3rK,,,"Guwahati, Assam",Flood,"[37.2923509,-78.73278]"
2017-07-24 22:03:36,Pankaj16182,"RT @scoopwhoopnews: Parts of Gujarat in flood-like situation, 3 people have already died. All you need to know #GujaratFloods https://t.co/…",,,Rajkot,RT| Gujarat| GujaratFloods,"[22.258652,71.1923805][22.965237, 72.625633]"
2017-07-24 22:03:02,Silchar_Com,Flood damage: Central team arriving today https://t.co/vTYsjfFWlb #silchar #news,,,"Silchar, India",Flood,"[37.2923509,-78.73278]"
2017-07-24 22:02:46,mdhaba1,"RT @CNNnews18: The total number of deaths in flood-related cases this year stands at 76

https://t.co/Yq1tk92tUJ",,,Kingdom of Saudi Arabia,RT,
2017-07-24 22:01:24,hashahmedabad,Flood fury hits Gujarat: 25000 people evacuated - Times of India https://t.co/NBlQLCHpxQ #Ahmedabad #News,,,"Ahmedabad , Gujarat ",Flood| India,"[37.2923509,-78.73278][20.593684,78.96288]"
2017-07-24 21:55:35,harshparmar89,RT @sardesairajdeep: Thoughts and prayers tonight will friends and citizens in flood hit Gujarat. God bless you all! Hope help reaches all…,,,"Calgary, Alberta",RT| God| Hope,"[47.6942316,19.140119][42.7871797,-86.1023574]"
2017-07-24 21:49:05,d33p_crj,RT @sardesairajdeep: Thoughts and prayers tonight will friends and citizens in flood hit Gujarat. God bless you all! Hope help reaches all…,,,,RT| God| Hope,"[47.6942316,19.140119][42.7871797,-86.1023574]"
2017-07-24 21:46:46,Pankaj16182,RT @vijayrupanibjp: Govt is doing its best to rescue those hit by flood. 12 teams of NDRF &amp; one Column of Army have been deployed in Banask…,,,Rajkot,RT| NDRF| Army,"[16.3792902,80.5313928][40.7924171,-74.1966221]"
2017-07-24 21:46:17,indianews_web,Patnaik orders evacuation as flood fear looms large in Odisha https://t.co/KhZAStc1zy #IndiaNews,,,India,Patnaik| Odisha,"[40.2096192, -74.6911995][20.9516658,85.0985236]"
2017-07-24 21:37:54,NeelPMehta2,RT @vijayrupanibjp: Govt is doing its best to rescue those hit by flood. 12 teams of NDRF &amp; one Column of Army have been deployed in Banask…,,,,RT| NDRF| Army,"[16.3792902,80.5313928][40.7924171,-74.1966221]"
2017-07-24 21:37:12,AnchorsRC,RT @rajdeep337: A S Bhattacharya (Director &amp; Member Secretary - IBPS): Appeal to Postpone the IBPS Clerk V Exam in Ch... https://t.co/icVw7…,,,,#,
2017-07-24 21:36:18,indianews_web,"Flood Wrecks Rajasthan, Killing 2, Gujarat Declares High Alert https://t.co/2IiT5f6xJa #IndiaNews",,,India,Flood Wrecks Rajasthan| Gujarat Declares High Alert,[][]
2017-07-24 21:33:57,parentnashik,"Top story: Selfie crazy people pose against flood in Nashik | Mumbai NYOOOZ https://t.co/vc9nlDC5xd, see more https://t.co/39Q7wStrv7",,,"Nashik, India",Nashik,"[19.9974533,73.7898023]"
2017-07-24 21:30:23,muntaziraapka,RT @sardesairajdeep: Thoughts and prayers tonight will friends and citizens in flood hit Gujarat. God bless you all! Hope help reaches all…,,,,RT| God| Hope,"[47.6942316,19.140119][42.7871797,-86.1023574]"
2017-07-24 21:25:42,ParthPa07241800,RT @vijayrupanibjp: Visited State Control Room at Gandhinagar &amp; reviewed the flood situation. Satisfied with the overall preparedness of th…,,,"Ahmedabad,India",RT| Gandhinagar,"[23.2156354,72.6369415]"
2017-07-24 21:25:24,ParthPa07241800,"RT @vijayrupanibjp: At Deesa, to personally review the flood control measures in Banaskantha district. https://t.co/gZwEZHYv4H",,,"Ahmedabad,India",RT| Deesa| Banaskantha,"[24.2585031,72.1906721][24.3454739,71.7622481]"
2017-07-24 21:25:19,ParthPa07241800,RT @vijayrupanibjp: Govt is doing its best to rescue those hit by flood. 12 teams of NDRF &amp; one Column of Army have been deployed in Banask…,,,"Ahmedabad,India",RT| NDRF| Army,"[16.3792902,80.5313928][40.7924171,-74.1966221]"
2017-07-24 21:21:09,ankitagautamiyc,"RT @rachitseth: Fasal Bima Yojana to Railway Food,From Shortage of Ammunition to 60% Cut in Assam Flood Relief, CAG flays Modi Govt https:/…",,,,RT| Railway Food| From Shortage| Assam Flood Relief| CAG| Modi Govt,"[25.908347, 93.728951][][][39.8749072,-75.5478455][28.528857,77.289961]"
2017-07-24 21:19:38,bhardwaj_dpyc,"RT @rachitseth: Fasal Bima Yojana to Railway Food,From Shortage of Ammunition to 60% Cut in Assam Flood Relief, CAG flays Modi Govt https:/…",,,"New Delhi, India",RT| Railway Food| From Shortage| Assam Flood Relief| CAG| Modi Govt,"[25.908347, 93.728951][][][39.8749072,-75.5478455][28.528857,77.289961]"
2017-07-24 21:18:38,azhar2ajju,"RT @ashokgehlot51: Flood like situation in many parts of #Rajasthan including Jalore is worrying. 
https://t.co/ARwt6SkDrQ",,,,RT| Jalore,"[25.1256823,72.1416132]"
2017-07-24 21:04:52,debopomsanyal,#US #UnitedStates #USNews #Weather #Tarrant #County in #Texas is witnessing dangerous Water… https://t.co/q25TK1ZbEO https://t.co/VTqZNZef9T,,,"Hyderabad,India",US| UnitedStates| USNews| Texas,"[37.09024,-95.712891][37.09024, -95.712891][38.90350919999999, -77.0604224][31.9685988,-99.9018131]"
2017-07-24 21:04:50,suchetanaKghosh,#US #UnitedStates #USNews #Weather #Tarrant #County in #Texas is witnessing dangerous Water… https://t.co/ouQ5ZT8xLa https://t.co/fa8EBF448B,,,"Hyderabad, India",US| UnitedStates| USNews| Texas,"[37.09024,-95.712891][37.09024, -95.712891][38.90350919999999, -77.0604224][31.9685988,-99.9018131]"
2017-07-24 21:03:57,sheth_vaibhav6,RT @vijayrupanibjp: Govt is doing its best to rescue those hit by flood. 12 teams of NDRF &amp; one Column of Army have been deployed in Banask…,,,"Ahmadabad City, India",RT| NDRF| Army,"[16.3792902,80.5313928][40.7924171,-74.1966221]"
2017-07-24 21:02:38,AnshuShailesh2,RT @vijayrupanibjp: Govt is doing its best to rescue those hit by flood. 12 teams of NDRF &amp; one Column of Army have been deployed in Banask…,,,"Patna, India",RT| NDRF| Army,"[16.3792902,80.5313928][40.7924171,-74.1966221]"
