created-at,username,text,geo-loc,place-bbox,usr-loc,extr-places,extr-latlon
2017-08-27 23:58:09,PoirotH_,RT @Chellaney: China's disdain for pacts: It violates binding obligations by not sharing hydrological data with flood-ravaged India https:/…,,,Bhāratavarṣa,RT| China,"[35.86166,104.195397]"
2017-08-27 23:57:00,Ann_Dee_,"What flood is this! Do I have anyone from #Houston here? 

#HoustonFloods https://t.co/tbWa8mPHP3",,"[[[78.233173, 17.2371055], [78.5373982, 17.2371055], [78.5373982, 17.5529688], [78.233173, 17.5529688]]]","Hyderabad, Telangana, India",Houston| HoustonFloods,"[29.7604267, -95.3698028][29.8055453, -95.45246619999999]"
2017-08-27 23:56:17,wrwcld,RT @amiablehetal01: Tropical Storm Harvey in photos: Views of the #Houston flood from the ground https://t.co/lxqaPB7BRM https://t.co/bdxBK…,,,US West,RT| Houston,"[29.7604267, -95.3698028]"
2017-08-27 23:55:56,bharathiseo88,Why Does Houston Flood So Often? https://t.co/G57ALMSnKt,,,hyderabad,Does Houston Flood So Often,[]
2017-08-27 23:55:15,IrishTea1,RT @amiablehetal01: Tropical Storm Harvey in photos: Views of the #Houston flood from the ground https://t.co/lxqaPB7BRM https://t.co/bdxBK…,,,Mid-Atlantic Coast,RT| Houston,"[29.7604267, -95.3698028]"
2017-08-27 23:47:08,kuttusenator,RT @Chellaney: China's disdain for pacts: It violates binding obligations by not sharing hydrological data with flood-ravaged India https:/…,,,,RT| China,"[35.86166,104.195397]"
2017-08-27 23:43:57,NeshkaVirdure,RT @amiablehetal01: Tropical Storm Harvey in photos: Views of the #Houston flood from the ground https://t.co/lxqaPB7BRM https://t.co/bdxBK…,,,"Sacramento, CA",RT| Houston,"[29.7604267, -95.3698028]"
2017-08-27 23:41:31,Sayyad003,"RT @ndtv: Number of deaths in #BiharFloods rises to 482, 101 dead in UP https://t.co/WZxODpv4GT https://t.co/iWa1tczh89",,,,RT| BiharFloods| UP,"[25.5832852,85.0975657][26.8467088,80.9461592]"
2017-08-27 23:40:15,kaimalnandu,RT @TOIIndiaNews: PM hails Jamiat for cleaning 22 flood-hit temples in Gujarat https://t.co/N1YMpG7zxO,,,"Palakkad, Kerala",RT| Jamiat| Gujarat,"[31.5330081,74.3217758][22.258652,71.1923805]"
2017-08-27 23:39:45,Sayyad003,"RT @dna: Bihar flood toll rises to 482, 42 dead in last 24-hours  https://t.co/4UMur4CPMu https://t.co/UhsKsLL6Z3",,,,RT| Bihar,"[25.0960742,85.3131194]"
2017-08-27 23:37:57,Timpanist,RT @amiablehetal01: Tropical Storm Harvey in photos: Views of the #Houston flood from the ground https://t.co/lxqaPB7BRM https://t.co/bdxBK…,,,East Texas Piney Woods,RT| Houston,"[29.7604267, -95.3698028]"
2017-08-27 23:36:38,absuredubseven,@realDonaldTrump How about we flood all your properties with 15inches of water and let's see if you'll be saying thanks after.,,,Unknown,,[]
2017-08-27 23:36:03,TOIIndiaNews,PM hails Jamiat for cleaning 22 flood-hit temples in Gujarat https://t.co/N1YMpG7zxO,,,"New Delhi, India",PM| Jamiat| Gujarat,"[46.8852,-56.3159][31.5330081,74.3217758][22.258652,71.1923805]"
2017-08-27 23:35:48,YUGESHBABU14,"RT @dna: Bihar flood toll rises to 482, 42 dead in last 24-hours  https://t.co/4UMur4CPMu https://t.co/UhsKsLL6Z3",,,"Tirupati, Andhra Pradesh",RT| Bihar,"[25.0960742,85.3131194]"
2017-08-27 23:32:16,mariaphargitay,@chIoedeckerr Yeah we almost had to evacuate last night bc it was starting to flood into our house and now our power is out is ://,,,unknown,chIoedeckerr Yeah,[]
2017-08-27 23:32:06,prkshshr,"RT @Indianit07: Where Entire Bihar Is Effected By Flood.
There Some Hypocrites Doing Bakwas Rally!
👇
#DeshBachao From Fodder, Soil &amp; Chit F…",,,,#,
2017-08-27 23:32:03,TechieTurf,"#Mashable Tropical Storm Harvey has dumped more than 11 trillion gallons of water on Texas, and counting… https://t.co/kJZIvUFeHl",,,Mumbai,Texas,"[31.9685988,-99.9018131]"
2017-08-27 23:22:37,Kondalarayudu1,"RT @PMOIndia: PM @narendramodi, CM @NitishKumar, Dy CM @SushilModi and top officials reviewing the flood situation in Bihar at a high level…",,,India,RT| CM| Bihar,"[7.369722,12.354722][25.0960742,85.3131194]"
2017-08-27 23:18:44,DanRiehl,RT @amiablehetal01: Tropical Storm Harvey in photos: Views of the #Houston flood from the ground https://t.co/lxqaPB7BRM https://t.co/bdxBK…,,,USA,RT| Houston,"[29.7604267, -95.3698028]"
2017-08-27 23:18:12,alexandrahussar,RT @amiablehetal01: Tropical Storm Harvey in photos: Views of the #Houston flood from the ground https://t.co/lxqaPB7BRM https://t.co/bdxBK…,,,New York,RT| Houston,"[29.7604267, -95.3698028]"
2017-08-27 23:16:03,exploder_1,TV reporter helps rescue truck driver from rising flood water live on air as Hurricane Harvey spreads chaos https://t.co/yWKzKppIWV,,,India,TV| Hurricane Harvey,"[][39.225013,-90.9220472]"
2017-08-27 23:13:41,kakeenan,RT @amiablehetal01: Tropical Storm Harvey in photos: Views of the #Houston flood from the ground https://t.co/lxqaPB7BRM https://t.co/bdxBK…,,,"Illinois, USA",RT| Houston,"[29.7604267, -95.3698028]"
2017-08-27 23:13:07,BonnieBlazek,RT @amiablehetal01: Tropical Storm Harvey in photos: Views of the #Houston flood from the ground https://t.co/lxqaPB7BRM https://t.co/bdxBK…,,,,RT| Houston,"[29.7604267, -95.3698028]"
2017-08-27 23:11:49,deepalinamdev09,RT @ANI: Volunteers of Jamiat Ulema-e-Hind cleaned 22 temples and 3 mosques which were affected by flood in Gujarat's Dhanera: PM Modi #Man…,,,"New Delhi, India",RT| Jamiat| Gujarat,"[31.5330081,74.3217758][22.258652,71.1923805]"
2017-08-27 23:09:09,SnowScape15,RT @amiablehetal01: Tropical Storm Harvey in photos: Views of the #Houston flood from the ground https://t.co/lxqaPB7BRM https://t.co/bdxBK…,,,United States,RT| Houston,"[29.7604267, -95.3698028]"
2017-08-27 23:07:22,rikknives,"RT cnnbrk ""Dallas preps convention center ‘mega shelter’ to house up to 5,000 people impacted by devastating flood… https://t.co/gWtbATBKA0""",,,India,RT| Dallas,"[32.7766642, -96.79698789999999]"
